关于海湾旅游区断头桥和交通的问题,待回复,交通 求助,匿***,2017-05-2317:08,尊敬的庄书记，您好，我是海湾旅游区嘉业海悦小区的一名居民，特向您反映几个问题，并希望能够得到改善（1）小区门外路灯改善：我们小区自建成以来直至现在，大门外的规划路至今还没有路灯。夜晚走路必须靠手机打开手电筒照明，非常不安全，望在此问题上市政府能给予大力支持，还居民一条明亮的大道 。（2）往返市区交通问题：海湾的居民，除了当地居民以外，基本都是外来打工人员，每天上下班往返市区出行，除了莘海专线，海沈线，海航线等普通公交路线外，无快速直达市区的线路，而已有的线路站点多，耗时长，导致很多人每天光来回路上就花去五至六个小时，因此希望领导能考虑增设几条海湾前往市区（如莘庄、虹桥火车站）的直达快速车，为居民出行提供更多的便利。（3）文体建设问题：海湾旅游区因近几年的发展迅速，小区建成且人员入住率逐年提高，但相应的生活文娱设施却一再停滞不前。我们小区内无健身设施，而方圆三公里，也无大型公园供老人孩童健身娱乐，虽有碧海金沙和渔人码头可供人游玩，但这两处景点不仅收费，且只有在盛夏季节适宜人们过去散步活动，一旦到寒冬或春秋季，海风大，根本不适宜人们的健身，望领导考虑海湾的气候特点，选址建大型公园，让海湾人民也实实在在融入到“全民健身”的文化体验当中来（4）请求彻查本小区物业收费问题：嘉业海悦小区属普通居民小区，但物业费较周边同档甚至（市区/同地段）小区环境比之只好不差的小区来说，物业费高得离谱，小区居民对此曾与物业处交涉，但均以找开发商为由被打发，无果而终。现请求领导可以彻查此事，在物业费的缴费标准上给予我们一个公正合理的价格，而不是开发商的漫天要价（5）请求海马路桥重建问题：海马路桥原在2012年购房时是有的，而在交房后就成了断头桥，家中老人买菜及生活用品，原步行五分钟可以到，现在不仅要绕道，多走2公里路，且家中老人不会骑车的就更不方便了，望领导予以考虑重建海马路桥，以方便民众的出行。,,,
关于小孩读书插班,待回复,教育 求助,匿***,2017-05-1613:50,应市长，你好！我是海湾的一名住户，我跟我老公在上海奋斗了7年，终于在海湾有了自己的房子，可是一系列问题接踵而至，海湾只有一个幼儿园，想把儿子接过来读书，被说需要插班，没有学位还上不了，我俩奋斗就是为了要跟儿子团聚，难道，买了房子还不能让我儿子上学么？,,,
公交车站点距离太远,待回复,交通 求助,匿***,2017-05-0819:53,江平专线公交车从两港大道新四平公路到下一站新杨公路平达路太远，让我们在中间需要下车的人每次要向司机说好话，结果就得看司机心情了。如果去平安镇还有一条公交线是四团2线，它在开却没有站牌及时间表，经常是空车，有需求的人却用不上，希望领导能安排处理给我们带来方便，谢谢！,,,
躲避环保检查,待回复,治安 咨询,匿***,2017-04-2016:07,怎么没人管、奉城镇神州路288号仓库化工储存没有环保证晚上做业,,,
为民办实事才是真,待回复,其他 投诉,匿***,2017-03-0613:39,奉城镇头桥社区戴家村委员会好像又想出了个害民的事情了，要求位于头桥东路两侧的门面商铺，朝南的商铺可以继续经营，朝北开的商铺必须关掉。请问这是哪门子法律规定，朝北的房子又不违建，多是合法的，就算是环境差么也不能这么瞎搞啊？我是残极人，戴家村村委会也不能把我往死路上逼啊，拿不出成绩么也不能整老百姓呢，身为头桥人感到戴家村委会够窝囊的，戴家村委会还能做啥实事。,,,
欢乐路违建举报,待回复,城建 求助,匿***,2017-03-0309:05,书记你好！位于金汇镇欢乐路388号，马路边全是违建彩钢大棚，严重影响该路段上下班车辆行驶，望书记为民做主！,,,
国家放开二胎，希望公立幼儿园增加托班招生,待回复,教育 建言,匿***,2017-03-0118:00,公立幼儿园很少开托班，即使开的，也是名额很少，2月份报今年9月份学年的，已经报不进名，希望能多开几个托班，增加些开托班的幼儿园，现在国家放开二胎了，幼儿教育方面希望政府支持，减轻老百姓负担！,,,
投诉奉贤交警支队不依法执法,待回复,交通 投诉,@***,2017-02-1608:00,　尊敬的庄书记你好！　我是广东人到上海探亲，2017年2月11日早上9点左右，驾驶沪A67D18奥迪小车从胡桥乡胡桥新街由西向东行驶到一个邮政储蓄银行对面时，觉得在大路边停车不妥就驶入窖桥中心路口大约行了30米处将车临时停放在右侧道上。3分钟办完事后出来，我准备开车离开，却发现车窗玻璃上贴着由上海市公安局奉贤分局交通警察支队（车牌：沪A9227警）的警察开出的处罚通知单，当时三个警察还没离开，我找他们论理，周围大批群众都齐声指责交警执法不对，警察还说没有禁停标志也可以处罚的，我觉得奉贤的警察太野蛮了。根据《道路交通安全法》第56条处罚我显然站不住脚。“我认为交警的处罚决定不当。”因为“窖桥中心路的两边路口和整条路段没有任何禁停标志，停车的路段有10米左右宽度，路上也没有左右任何车道划线，来往人员和车辆稀少，并没有妨碍通行。”　　我认为，无“禁停”标志的地方就可以临时停车。　　首先，城市道路承担的功能不同，不能以一个标准来判断是否违法停车。根据国家技术监督局、建设部联合发布的《城市道路交通规划设计规范》，城市道路分为快速道、主干路、次干路和支路四类。同时，还有按功能划分为交通性干道、生活性干道和生活性支路等的划分方法。　　窖桥中心路明显属于支路或者生活性支路的居民生活区范围。在城市道路中的快速路、主要交通干道不用明示机动车驾驶人都知道停车即违法。然而，在支路或者生活性支路上，交通部门没有设置明显的“禁止停车”标志，将支路或者生活性支路与主干道等用同一的思维方式来实施处罚，即认为没有在明示可以停车的地方停车即属违法，这是一种怎样的思维模式？在公民存在疑问时，没有明示则处罚显然没有依据，不能要求公民承担法律规定之外的义务是法治的一个初衷。　　其次，法无禁止即自由。在行政法学上，行政机关的权力来自于法律的明确授权，而对于公民来说，法律没有明确禁止的，公民可以依其自由意志行使自己的权利，这一原则与“自由乃在于法律之下”表述的是同一个问题。　　法律规定了公安交通部门设置“禁停标志”的职责，但是公安交通部门却没有依法履行，可视为公安交通部门的不作为，该不作为无疑增加公民履行义务的不确定性。这样导致的是公民无法预知应该承担的法律义务，如果交警依此处罚，滥罚必然滋生，权大于法，没有合法的程序处理在群众心里影响很坏，虽然罚款不多，但这样被处罚很冤，希望通过向上级领导投诉情况得到免责处理，谢谢。,,,
浦济教育拖欠工资不发,待回复,就业 投诉,匿***,2016-11-3014:26,我是一名书法老师，于今年六月十八日到奉贤区南桥镇解放中路372号的浦济教育培训机构担任书法老师，由于种种原因，学校一直没有和我签订用工合同，当时是和该校大股东张校长口头商定底薪四千元一个月，另加教学提成。由于招生运作不力，导致生源较少，就这样勉强到九月份，学生实在是太少，（仅仅十几个学生），入不敷出，没办法我向主管校长提出口头辞职，主管校长也在挽留，但我不能就这样白白的耗在这里赚不到钱，自九月初提出辞职，到十月十五日我正式离开，一直兢兢业业的工作，最终学校将我的十月份工资扣发，原因是学校在亏本，那么如果学校赚钱了会不会多发钱给我呢，请庄书记为我主持公道，谢谢！,,,
违建升房，私已占用公共走道。,待回复,城建 投诉,匿***,2016-11-2410:22,庄行镇一新街2O号(青梅饮食店)在有关部门到场阻止并告知违建他们不听，在有关部门休息日他们赶紧竣工，竣工后没有执法部门来过，这事在2O16年6月至今沒有说法。他们的饮食店在公共走道里占一半，一个本就两人擦肩而过的走道现在成了他们的(液化气瓶，排水管，洗莱盆，还有防盗窗要延伸十几厘米)这个公共走道真是隐患不少，请领导派人核查，处理这个隐患。謝谢。,,,
上海市奉贤区游戏厅赌博严重影响社会希望领导能,待回复,治安 投诉,匿***,2016-11-0208:01,本人在上海市奉贤区西渡镇，那游戏厅在大骏百货大楼后面那栋楼四楼左边是网吧右边是游戏机打鱼赌博，台球进去还有暗门里面都是赌博机打都是大钱，有的一天输了十几万都有，我朋友在里面输了七八万了，凡事进里面的都是输的没地方诉，还有好多小孩未成年也开始迷恋游戏厅，如果这样下去真的完了，在外面打工的都输的底着天！而且那样的不止一家大大小小七八家，我们报警派出所的人刚开始说好好好可是人家都没有出警，后来我们报了三四次警他们才出警，他们一出警游戏厅里立马关门大吉，警察一走又是正常营业，为什么老是这样的情况出现，我希望领导和有关部门能重视这样的违法犯罪行为，严惩犯罪者，到底是哪个幕后黑手！给我们老百姓一个安居乐业的环境！,,,
违章搭建，违规养鸡建垃圾厂,待回复,环保 投诉,匿***,2016-09-2416:48,奉贤区西渡街道沪杭公路418弄巨龙台湾城小区最南边，位置：东到沪杭公路西到西到水岸路，小区前面高压线下违章乱搭建筑众多，养鸡养鸭养狗严重干扰小区居民，极易带来禽流感。高压线下使用吊机，违规乱堆杂物，极易引起火灾。水岸路旁边公园对面新建垃圾场，臭气熏天，严重影响居民生活。希望有关部门尽快处理，尽快整顿。,,,
换电表,待回复,其他 求助,匿***,2016-07-1320:09,我们被叫来上海换电表……现在也来了一个多月了……一直没开工……这件事到底是不是真的……,,,
欠我们工资不发,待回复,企业 求助,匿***,2016-07-1218:52,我是原上海环升包装材料有限公司一名员工，公司于2015年9月15关闭，到现在还欠我们三个月的工资未发以及几年的赔偿金，希望各位领导帮助我们这些农民工一下，求助政府给我们解决，谢谢,,,
奉贤火葬场,待回复,城建 咨询,匿***,2016-07-0518:56,区长你好。关于奉贤火葬场搬迁的事儿我想知道他具体是搬在哪里呢 有确定位置了吗,,,
上海到天水的航班,待回复,交通 咨询,匿***,2016-06-2910:42,你好 我想问一下上海市到甘肃省天水市的航班什么时候能开通航线 《希望早一点开通这样回家就快了当天就可以回家了(建议从上海市到兰州市的航班在天水降落一下然后起飞到兰州降落)》这是个建议 谢谢！,,,
我买的羌银手镯花儿纳吉找不到官网，,待回复,其他 投诉,匿***,2016-05-2811:13,我在五月月二十二来茂县，经导游带去古羌族城买了啥花儿纳吉品牌银手镯，回来怎么查不到官方网站，感觉受骗了，希望得到政府核查,,,
交警违法执法,待回复,交通 投诉,匿***,2016-05-2313:50,尊敬的区长大人，您好！奉贤区南桥镇环城南路与江海路路口悦华大酒店门口停车线，我的车子本来是停在停车线内的，并没有影响交通，交警在没有通知我们车主的情况下，贴了2张罚单，说是要重新整改停车线，而且车子上弄了很多洗不掉的灰尘，需要去抛光，这个责任又有谁来负责呢？我的车子又违反交通规则了吗？交警在没通知整改的前提下，就给我的车子贴了两张罚单，这样真的合理么，希望市长大人能给我们老百姓一个合理的说法！,,,
现在为什么不能办临时居住证,待回复,教育 求助,匿***,2016-05-1016:40,为什么现在不能办临时居住证呢？我现在上学这么急要用？怎么说不能办就不能办了呢，好不公平啊！,,,
工资求助,待回复,其他 求助,匿***,2016-05-0513:59,尊敬的书记，你好！我是在上海市奉贤区金汇镇金汇针织有限公司里的一名员工(目前已经离职)。去年八月份在此公司工作到今年二月份，公司由于减薪而让我们被离职，我们也没有要求公司给予补偿，但是却连工资(一月份至二月份)却也一直都不发，打电话给公司老板同老总，也不接电话。所以肯请书记帮帮我们这些弱势群体，而拿到我们的血汗钱。谢谢！！,,,
4月19奉贤宏翔幼儿园老师对晚接私自收费,待回复,教育 咨询,匿***,2016-04-2008:37,晚接孩子一小时收费50元合理吗？并且为了收到费用将孩子堵在屋里，老师行为举止合格吗？,,,
为什么光明镇地方上乱收费？,待回复,城建 投诉,匿***,2016-03-2413:28,南桥镇光明村地方村部，借上级领导吩咐和规定，多人来我们租借房地，乱登记我们身份信息，要求我们外地在上海打工人员上交卫生费？我想知道，这是谁的规定？在别的地方从没有遇到的奇葩收费项目！希望领导在百忙中给予答复！,,,
河南息县黄庄人无路了,待回复,交通 求助,匿***,2015-12-0515:18,息县小茴李家家道以南的道路通吗。。。为什么只有200米怎么不通了。。请领导给个解释，更请领导调查一下,,,
教育局关闭民办幼儿园，孩子无法继续上学,待回复,征集 群众路线,匿***,2015-04-2214:09,教育局直接下通知关闭民办幼儿园，外来务工子女无法继续上学。几百个孩子面临没有学校上学，公办幼儿园需要社保证件，外来务工一个月工资和房租扣除无法上缴社保，面临孩子全部没有办法上学，希望有关单位给我处理的办法。谢谢,,,
无证经营,待回复,其他 投诉,匿***,2015-03-2916:36,现有奉贤区 南桥镇 南桥集贸市场西南门进去第九号摊位无证经营蛋饺 肉丸 肉馅 其实就是小型黑加工厂 都是在家加工好拿到市场去经营卫生条件恶劣不堪,,,
非法聚众赌博扰民,待回复,治安 投诉,浩***,2014-11-2416:41,周书记你好！  本人要举报出租屋暗藏的非法棋牌室，聚众赌博，社会风气实在是太坏！而且夜晚很是扰民。这些不正之风正在身边蔓延，而且这些棋牌室的经营者唆使我们去那里玩牌，带坏我们的年轻人。每天一大清早就开始有大噪音、每天晚上很晚都能听到赌博的尖叫声，打架的嘈杂声；严重影响我们居民的正常生活。夜晚吵的大人小孩都无法睡觉，地址奉贤区头桥镇蔡家桥村蔡桥路1103号。望取缔！,,,
是农业户却没有土地！,待回复,三农 求助,匿***,2014-10-2813:55,我们是胡桥渔业队的渔民！这些年国家在保护渔业资源和维护河道通顺清洁方面做出了贡献！渔民们以前是靠抓鱼维持生计的！可是现在面对改革和渔业资源的匮乏渔民都无法在靠旧时的抓鱼维持生活了！又无地可耕！现实生活中确实压力巨大了！请求书记给与查实确切落实农业户的农民有地可耕！,,,
我是个农民没房没宅基地,待回复,城建 求助,匿***,2014-07-2408:45,我是奉贤西渡扶栏702的村民，户口是1991年迁过来的，可是在扶栏没有宅基地，因为结婚生子后，连我的妻儿也没有任何宅基地，村里知道我的情况同意并且支持我建房，可南桥规划所屠岳龙说我已享受过拆迁，我去查过，以前我爷爷的宅基地地上有我的名字，可我什么也没有赔偿到，他就坚持说我得到了补偿，我去奉浦和农业园区两家拆迁公司去查了我的资料，都没有我的拆迁合同，我请书记帮助我主持公道，叫屠岳龙拿出我已补偿的资料和拆迁合同给我看，如果没有，就请按照国家规定给我农民一家老小该有的权益，不能光用嘴巴说我已经有过补偿，那是他对我一家极其不负责任的做法，请书记为我做主，极切盼望我能有一个自己的房子。,,,
外地学生在上海就读问题,待回复,教育 投诉,匿***,2014-05-1209:38,为什么我们外地孩子就不能在上海读高中，虽然政策允许了可是门槛那么高只有有文化的父母孩子有机会在上海读书，象我们这些劳动者就不能在上海读高中这是什么理由？,,,
社会保障与住房,待回复,三农 咨询,匿***,2013-10-0810:23,我是青村镇新张村村民，家住南张村335#，1958年9月24日生，中共党员。有两个问题咨询并解答：1、我的镇保（假镇保）已经超过二年很久了，还未转正式镇保，现在口粮钱没了（提供两年时间），土地也没了，咋办？2、我家住房为70年代建筑物，两个男孩因房子问题至今未婚，大的81年生，小的86年生。为此5、6年之前已向村里提出了建房书面申请，但不知何因不予审批。为此我去镇有关部门咨询过，但未果。我是一位普通党员，党性予以我理智，但家庭压力很大，咋办？,,,
标题,状态,领域,用户名,时间,内容,回复单位,回复内容,回复时间
