标题,状态,领域,用户名,时间,内容,回复单位,回复内容,回复时间
村庄规划让参与人员平摊图纸打印费？,已办理,政务 投诉,大***,2019-02-2810:28,临沧市目前正在开展村庄规划工作，但有的县乡村，要求参与规划的人员平摊图纸打印费。比如，有的县乡村已经让工作组交了钱，村庄规划图纸费共6份，每份2仟元，共计1万2仟元。这样的做法是否可行？这样的做法是哪一级允许的？求解。谢谢！,临沧市委办公室,临沧市目前正在开展村庄规划工作，但有的县乡村，要求参与规划的人员平摊图纸打印费。比如，有的县乡村已经让工作组交了钱，村庄规划图纸费共6份，每份2仟元，共计1万2仟元。这样的做法是否可行？这样的做法是哪一级允许的？求解。谢谢！,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
“四项人员”考试岗位不要限制服务地,已办理,就业 建言,X***,2019-02-1916:03,从临沧市2018年事业单位的岗位表出来后，我认真看了好几遍关于“三项人员”岗位，感到很失望！2017年我怀着一个服务锻炼的心态在昆明报考了昆明市的西部志愿者，因为当时情况我在昆明紧急、路途遥远，所以只能报了昆明的志愿者。我看了去年及以往的岗位表“三项人员”岗位只限制户籍，不限制服务地，但是，今年却偏偏要限制服务地，并且只有临沧市限制，其它州市不限制，我还希望怀着好好对待考试、到时候考回临沧服务家乡的心态。但是，今年看了这个岗位表真让我失望了，因为临沧市的事业单位考试符合我专业的也基本没有，希望临沧市人民政府和人社部门领导在明年及以后考试对“三项人员”的要求不要像今年那样限制，我觉得维持去年那种更好，并且其它州市也不改，就我们例外，作为一名在脱贫攻坚努力的一名志愿者也是真不容易，特别是西部志愿者不像其它三项人员待遇一样！,临沧市委办公室,从临沧市2018年事业单位的岗位表出来后，我认真看了好几遍关于“三项人员”岗位，感到很失望！2017年我怀着一个服务锻炼的心态在昆明报考了昆明市的西部志愿者，因为当时情况我在昆明紧急、路途遥远，所以只能报了昆明的志愿者。我看了去年及以往的岗位表“三项人员”岗位只限制户籍，不限制服务地，但是，今年却偏偏要限制服务地，并且只有临沧市限制，其它州市不限制，我还希望怀着好好对待考试、到时候考回临沧服务家乡的心态。但是，今年看了这个岗位表真让我失望了，因为临沧市的事业单位考试符合我专业的也基本没有，希望临沧市人民政府和人社部门领导在明年及以后考试对“三项人员”的要求不要像今年那样限制，我觉得维持去年那种更好，并且其它州市也不改，就我们例外，作为一名在脱贫攻坚努力的一名志愿者也是真不容易，特别是西部志愿者不像其它三项人员待遇一样！,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
“军嫂请婚假，法定只有2天时间？问题已经解决,已办理,教育 感谢,傈***,2019-02-1713:41,“军嫂请婚假，法定只有2天时间？”问题已解决2月7日，因自己不是很清楚妻子请假的具体情况，以为学校只给妻子请了2天婚假，了解下来，妻子在1月25日到2月3日已经获批10天假期，接着的春节假期休息天数也和其他单位职工一样。学校在了解我的具体情况以后，现已经按正常婚假规定准假。现在全乡正在开展脱贫攻坚，各个单位的干部职工都按照要求认真开展脱贫攻坚相关工作，妻子作为一名国家公职人员，对脱贫攻坚工作也表示积极理解和支持。,临沧市书记市长信箱,“军嫂请婚假，法定只有2天时间？”问题已解决2月7日，因自己不是很清楚妻子请假的具体情况，以为学校只给妻子请了2天婚假，了解下来，妻子在1月25日到2月3日已经获批10天假期，接着的春节假期休息天数也和其他单位职工一样。学校在了解我的具体情况以后，现已经按正常婚假规定准假。现在全乡正在开展脱贫攻坚，各个单位的干部职工都按照要求认真开展脱贫攻坚相关工作，妻子作为一名国家公职人员，对脱贫攻坚工作也表示积极理解和支持。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
加强华旭小区物管,已办理,城建 建言,l***,2019-02-1410:45,华旭小区改造之后停车卫生等都得到较大改善，很不错。但希望后期物业加强,临沧市委办公室,华旭小区改造之后停车卫生等都得到较大改善，很不错。但希望后期物业加强,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
马泗村委会支书李宏、罗会姜等人不依法履职,已办理,政务 投诉,c***,2019-02-0814:28,尊敬杨书记，我是云南临沧云县茂兰镇马泗村委会山头自然村的一名公民。1.2013年本户人家养羊103头，村委会当时已经统计上去，可是一直没有拿到养殖补贴款，到2018以养殖户补贴两年电话费为由打入我账户800元钱。养殖补贴款不合理。2.由于本人患有三高症、心冠病、脑梗塞多年，村民评选低保户时被评选上，可是村委会没有报上去，而是把名额给了和他们关系较好的户口。3.凯迪公司到山头自然村收集树叶，与茂兰政府签订5年合同，其中三年款项已打入马泗村支书李宏账户。凯迪公司工作人员还亲自到山头自然村访问公民（已打入李宏账户款农民是否收到），到目前为止村民并没有收到此款项。4.茂兰镇到山头自然村公路还是泥巴路，六七月份雨多路滑上街买卖都困难（农产品无法拿出去卖，需要日用品无法去购买），村里有什么紧急情况救护车、消防车第一时间无法到达现场。5.安乐村公所易地扶贫已落实，而马泗村公所没有任何动静。山头自然村离镇较远、海拔较高、泥巴路出行不方便。山头自然村是否属于易地扶贫村？6.每年的无息贷款都被马泗村委会工作人员占用，百姓并没有享受到国家精准扶贫款。所有建设村路，修沟等项目都被村委罗会姜垄断。而村委会工作人员李宏、罗会姜等人用于买车、买房、建厂等。7.农村土地补偿款每年不一样，自从李宏调入马泗村委会支书那年起土地补偿款和往年相比减半。8.马泗村委会选举不公平不公正，只做表面选举工作，并没有公布选举票数，现任村委会工作人员连任几届。山头自然村评选村长，支书李宏下达命令指定人员担任，剥夺百姓选举权。9.山头自然村学校被马泗村委私自拍卖给私人，后因司法部门介入学校归还山头自然村集体所有。但因村委会收了买方钱，学校所有一直被买方私人占有。以上都是事实，恳请杨书记等市政府领导明察、核实，还老百姓一个交代和村名最基本的生存权利。万分感谢。,临沧市委办公室,尊敬杨书记，我是云南临沧云县茂兰镇马泗村委会山头自然村的一名公民。1.2013年本户人家养羊103头，村委会当时已经统计上去，可是一直没有拿到养殖补贴款，到2018以养殖户补贴两年电话费为由打入我账户800元钱。养殖补贴款不合理。2.由于本人患有三高症、心冠病、脑梗塞多年，村民评选低保户时被评选上，可是村委会没有报上去，而是把名额给了和他们关系较好的户口。3.凯迪公司到山头自然村收集树叶，与茂兰政府签订5年合同，其中三年款项已打入马泗村支书李宏账户。凯迪公司工作人员还亲自到山头自然村访问公民（已打入李宏账户款农民是否收到），到目前为止村民并没有收到此款项。4.茂兰镇到山头自然村公路还是泥巴路，六七月份雨多路滑上街买卖都困难（农产品无法拿出去卖，需要日用品无法去购买），村里有什么紧急情况救护车、消防车第一时间无法到达现场。5.安乐村公所易地扶贫已落实，而马泗村公所没有任何动静。山头自然村离镇较远、海拔较高、泥巴路出行不方便。山头自然村是否属于易地扶贫村？6.每年的无息贷款都被马泗村委会工作人员占用，百姓并没有享受到国家精准扶贫款。所有建设村路，修沟等项目都被村委罗会姜垄断。而村委会工作人员李宏、罗会姜等人用于买车、买房、建厂等。7.农村土地补偿款每年不一样，自从李宏调入马泗村委会支书那年起土地补偿款和往年相比减半。8.马泗村委会选举不公平不公正，只做表面选举工作，并没有公布选举票数，现任村委会工作人员连任几届。山头自然村评选村长，支书李宏下达命令指定人员担任，剥夺百姓选举权。9.山头自然村学校被马泗村委私自拍卖给私人，后因司法部门介入学校归还山头自然村集体所有。但因村委会收了买方钱，学校所有一直被买方私人占有。以上都是事实，恳请杨书记等市政府领导明察、核实，还老百姓一个交代和村名最基本的生存权利。万分感谢。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
道路交通问题,已办理,交通 咨询,木***,2019-01-2609:08,你好，请问凤庆县勐佑镇立果村洼子寨社的道路什么才能开始修，立果村到洼子寨的道路从我10几年前就通了，但是现在其他大光山高山等没有通路的地方，都修了水泥路等，而洼子寨住了那么多人家，路还是坑坑洼洼。每次回家都交通不便。请问领导有没有把这条立果到洼子寨的路纳入规划中呢？,临沧市委办公室,你好，请问凤庆县勐佑镇立果村洼子寨社的道路什么才能开始修，立果村到洼子寨的道路从我10几年前就通了，但是现在其他大光山高山等没有通路的地方，都修了水泥路等，而洼子寨住了那么多人家，路还是坑坑洼洼。每次回家都交通不便。请问领导有没有把这条立果到洼子寨的路纳入规划中呢？,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
路费都没有还怎么回家过年,待回复,交通 求助,W***,2019-01-2515:51,尊敬的书记您好：        今你我们一伙二十多个人来耿马县修建忙洪乡安雅和科且的村组公路，目前工程也完工一个多星期了，可是现在一分工钱没有拿着，眼看就要过年，可是车费都没有，心里真不是个滋味，婆娘娃儿还等着回家呢……希望百忙之中的书记能帮我们问问这钱要什么时候才能拿着，哪怕给点路费和生活费回家过年我们都感激涕零了,,,
中康公司拖欠民工工资,已办理,企业 求助,云***,2019-01-2416:07,尊敬的领导:        您好，感谢你在百忙之中阅读我的来信，我是来自四川的农民工，我于2014年2月21日进入双江县档案馆工地负责泥工的施工，在施工期间，中康公司负责人让我请工人协助搭建临时办工用房及用于保证安全生产的附属设施，在主楼完工后，又让协助建设附属设施，工资因工种不同，工资以一百至叁百元/日不等。截止2016年，共欠民工工资134000元，因涉及人数众多，又是我叫来的人，我只好替公司垫付了九万多元。公司同意2017年底一并支付我。17年底，一分钱也没有拿到。18年7月，经县劳动监察大队调解，公司同意18年1月5日支付，到期后，又没有拿到。在此期间，因公司涉及民间借贷，我才知道中康公司与档案馆签合同的印章是假的。18年1月7日，我去法院申请支付令，公司主体不正确，建议诉讼，没有钱，请不起律师，交不起诉讼费，官司打不起呀。我又先后将此事反映至公安局、县纪委、县正法委、县信访局、县建设局城建股、县档案馆、县司法局，都没有受理。至目前为止，档案馆拨款已810万余元，特将此情况反映至贵单位，期望领导为我讨回工资，并追究违法乱纪者的责任。      敬祝领导工作顺利，万事如意。                         此致,临沧市委办公室,尊敬的领导:        您好，感谢你在百忙之中阅读我的来信，我是来自四川的农民工，我于2014年2月21日进入双江县档案馆工地负责泥工的施工，在施工期间，中康公司负责人让我请工人协助搭建临时办工用房及用于保证安全生产的附属设施，在主楼完工后，又让协助建设附属设施，工资因工种不同，工资以一百至叁百元/日不等。截止2016年，共欠民工工资134000元，因涉及人数众多，又是我叫来的人，我只好替公司垫付了九万多元。公司同意2017年底一并支付我。17年底，一分钱也没有拿到。18年7月，经县劳动监察大队调解，公司同意18年1月5日支付，到期后，又没有拿到。在此期间，因公司涉及民间借贷，我才知道中康公司与档案馆签合同的印章是假的。18年1月7日，我去法院申请支付令，公司主体不正确，建议诉讼，没有钱，请不起律师，交不起诉讼费，官司打不起呀。我又先后将此事反映至公安局、县纪委、县正法委、县信访局、县建设局城建股、县档案馆、县司法局，都没有受理。至目前为止，档案馆拨款已810万余元，特将此情况反映至贵单位，期望领导为我讨回工资，并追究违法乱纪者的责任。      敬祝领导工作顺利，万事如意。                         此致,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
双江24个建档立卡标第一标农民工工资问题,已办理,企业 求助,云***,2019-01-1217:13,杨书记你好，我们是来自云南文山的一批农民工，我们于2018年中旬到双江来打工，（双江24个建档立卡标第一标）由云南世珉建筑公司承建，我们多次要工钱，没有得到，马上过年了，我们都等着这点钱回家过年，我们这些人中多半都是困难户，家里又没有什么收入，我们曾经派代表去双江劳动局问过，他们不予受理，我们求求你了杨书记，帮帮我们，我们只想拿回我们的血汗钱，,临沧市委办公室,杨书记你好，我们是来自云南文山的一批农民工，我们于2018年中旬到双江来打工，（双江24个建档立卡标第一标）由云南世珉建筑公司承建，我们多次要工钱，没有得到，马上过年了，我们都等着这点钱回家过年，我们这些人中多半都是困难户，家里又没有什么收入，我们曾经派代表去双江劳动局问过，他们不予受理，我们求求你了杨书记，帮帮我们，我们只想拿回我们的血汗钱，,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
临沧市耿马县政府挪用中央土地平整专项资金,已办理,三农 求助,哦***,2019-01-1211:24,书记您好！我们2013年在耿马县芒果乡做土地平整的工人工资到现在都没拿到，老板也找不到，我们去年找过国土局说会帮我们解决的，结果到现在都没音讯，，盼解决！谢谢！,临沧市委办公室,书记您好！我们2013年在耿马县芒果乡做土地平整的工人工资到现在都没拿到，老板也找不到，我们去年找过国土局说会帮我们解决的，结果到现在都没音讯，，盼解决！谢谢！,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
临沧公租廉租房还可以申请吗？,已办理,城建 咨询,苍***,2019-01-0913:28,我想问一下2019年临沧公租廉租房还可以申请吗？麻烦给个回复，还有就是申请来又租出去的那些麻烦解决下，谢谢,临沧市委办公室,我想问一下2019年临沧公租廉租房还可以申请吗？麻烦给个回复，还有就是申请来又租出去的那些麻烦解决下，谢谢,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
为何公租房廉租房没有真真分配到所需要的人手中,已办理,城建 咨询,9***,2019-01-0612:22,你好，我是一名刚毕业的学生，家住农村，现在到临沧市上班，在玉龙花园租了一套两室一厅的房子，每个月和合租小伙伴分摊一千多的房租，还有公租房廉租房可以申请嘛，至少能让我们减少点压力,临沧市委办公室,你好，我是一名刚毕业的学生，家住农村，现在到临沧市上班，在玉龙花园租了一套两室一厅的房子，每个月和合租小伙伴分摊一千多的房租，还有公租房廉租房可以申请嘛，至少能让我们减少点压力,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
拖欠员工工资长达4多月,已办理,企业 求助,奋***,2019-01-0522:18,    尊敬的市委书记：                                    您好！                                        云南中浙东成生物科技有限公司   拖欠员工工资2018年9月10月11月12月至2019年拖欠4个月零5天。多次向厂有关员。询问工资发放日期。明日复明日。且未与员工签劳动合同（签劳动合同及少数人）家中刚出生不久的小孩还等着我这点工资来维持奶粉钱。本人实属无奈才向领导反映情况希望给矛解决。全厂70多人。   再次恳请领导了。,临沧市委办公室,    尊敬的市委书记：                                    您好！                                        云南中浙东成生物科技有限公司   拖欠员工工资2018年9月10月11月12月至2019年拖欠4个月零5天。多次向厂有关员。询问工资发放日期。明日复明日。且未与员工签劳动合同（签劳动合同及少数人）家中刚出生不久的小孩还等着我这点工资来维持奶粉钱。本人实属无奈才向领导反映情况希望给矛解决。全厂70多人。   再次恳请领导了。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
整个临翔区法定节假日被剥夺,已办理,政务 咨询,穷***,2018-12-3013:02,支持国家扶贫工作，但一杆子让所有人都失去了法定节假日，是否合理？,临沧市委办公室,支持国家扶贫工作，但一杆子让所有人都失去了法定节假日，是否合理？,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
临沧公路旁客车营运休息服务区建免费公厕,已办理,城建 建言,刀***,2018-12-3010:32,尊敬的杨书记您好：在百忙之中打扰您了，临沧公路客车休息服务区旅客下车上高价厕所，又不卫生文明，建议修建免费公厕提升人居环境，临沧打造开发旅游这形象十分重要，让旅客有个方便休息的地方，不要让那些高价厕所影响地区形象，谢谢书记！,临沧市委办公室,尊敬的杨书记您好：在百忙之中打扰您了，临沧公路客车休息服务区旅客下车上高价厕所，又不卫生文明，建议修建免费公厕提升人居环境，临沧打造开发旅游这形象十分重要，让旅客有个方便休息的地方，不要让那些高价厕所影响地区形象，谢谢书记！,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
玉龙花园公共租赁房,已办理,城建 求助,8***,2018-12-2807:33,杨书记你好，我于2017年1月24日分配到玉龙花园廉租房第六批，4栋2单元，听说2018年7月份就可以入住，现在都已经年底了，还没有接到入住电话，请问什么时候可以入住？,临沧市委办公室,杨书记你好，我于2017年1月24日分配到玉龙花园廉租房第六批，4栋2单元，听说2018年7月份就可以入住，现在都已经年底了，还没有接到入住电话，请问什么时候可以入住？,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
出租车驾驶员怀疑乘客碰瓷索要钱财,已办理,治安 投诉,W***,2018-12-1917:34,2018年12月3日，因乘客故意制造事端，我怀疑被碰瓷，无故赔偿乘客2000元，后请求相关警察部门调查，无故被拖，至今未给予明确回复，同样事件云县发生一起，省外一起，并且是同样两个人，同样手法故意制造事端，向出租车驾驶员索要不合理钱财。请求领导能听到普通老百姓的心声，谢谢。,临沧市委办公室,2018年12月3日，因乘客故意制造事端，我怀疑被碰瓷，无故赔偿乘客2000元，后请求相关警察部门调查，无故被拖，至今未给予明确回复，同样事件云县发生一起，省外一起，并且是同样两个人，同样手法故意制造事端，向出租车驾驶员索要不合理钱财。请求领导能听到普通老百姓的心声，谢谢。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
退役军人登记,已办理,政务 求助,施***,2018-12-1908:42,杨书记您好，我2004年从临沧市临翔区应征入伍在临沧市服役，2006年退伍在临沧。由于我在当兵以前户口是从外省转过来的，退伍几年后我才把户口转回了原籍，当兵的档案当时没有转，现在原籍这边需要登记我的当兵信息，在原籍当地查询不到我当时服役的任何信息，不能进行登记，请问您一下有没有什么办法可以办理这个事情。,临沧市委办公室,杨书记您好，我2004年从临沧市临翔区应征入伍在临沧市服役，2006年退伍在临沧。由于我在当兵以前户口是从外省转过来的，退伍几年后我才把户口转回了原籍，当兵的档案当时没有转，现在原籍这边需要登记我的当兵信息，在原籍当地查询不到我当时服役的任何信息，不能进行登记，请问您一下有没有什么办法可以办理这个事情。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
关于新生儿疫苗接种的一系列问题,已办理,医疗 求助,W***,2018-12-1308:48,杨书记您好！感谢您百忙之中阅读我的留言，我是云县涌宝镇石龙村背阴寨的村民，我今天要跟您反应的是关于新生儿接种疫苗的问题，我家小孩原定于2018年11月17号接种百白破疫苗第二针，但是到云县涌宝镇石龙村卫生室却被告知11月19号再进行统一接种，到了11月19日又被告知由于接种疫苗的负责人结婚去了，不能接种；之后过了一个星期去，又说是没有百白破疫苗；直到12月12号再次到涌宝医院，又被通知要求1月24号再去，这样一而再再而三的推辞，让我家小孩不能科学、有计划的在规定时间内接种疫苗，导致其他的疫苗也一拖再拖，真心希望书记您对此项工作多费心！祝书记生活愉快！,临沧市委办公室,杨书记您好！感谢您百忙之中阅读我的留言，我是云县涌宝镇石龙村背阴寨的村民，我今天要跟您反应的是关于新生儿接种疫苗的问题，我家小孩原定于2018年11月17号接种百白破疫苗第二针，但是到云县涌宝镇石龙村卫生室却被告知11月19号再进行统一接种，到了11月19日又被告知由于接种疫苗的负责人结婚去了，不能接种；之后过了一个星期去，又说是没有百白破疫苗；直到12月12号再次到涌宝医院，又被通知要求1月24号再去，这样一而再再而三的推辞，让我家小孩不能科学、有计划的在规定时间内接种疫苗，导致其他的疫苗也一拖再拖，真心希望书记您对此项工作多费心！祝书记生活愉快！,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
请问玉龙花园2栋何时能入住,已办理,城建 求助,W***,2018-12-1210:30,尊敬的领导您好：      就是想请问一下玉龙花园公租房2栋什么时候能入住，之前就在留言板看到相关回复，说是7月下旬开始通知，然后是又拖到12月底开始通知，抱着怀疑的心态     ，本人刚才打电话问了临翔区城建局，说是要到明年了。,临沧市委办公室,尊敬的领导您好：      就是想请问一下玉龙花园公租房2栋什么时候能入住，之前就在留言板看到相关回复，说是7月下旬开始通知，然后是又拖到12月底开始通知，抱着怀疑的心态     ，本人刚才打电话问了临翔区城建局，说是要到明年了。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
为什么微信赌博如此泛滥,已办理,文娱 投诉,云***,2018-12-1010:45,临沧市那么多人沉迷微信赌博，字画。社会危害那么大，微信赌博危害了临沧市那么多家庭，多少人倾家荡产。政府相关部门整治力度却轻描淡写，以至于微信字画赌博如此泛滥。请有关部门领导，好好整治一下微信字画赌博吧，给那些深受其害的家庭一个交代，衷心希望临沧市越来越美好。,临沧市委办公室,临沧市那么多人沉迷微信赌博，字画。社会危害那么大，微信赌博危害了临沧市那么多家庭，多少人倾家荡产。政府相关部门整治力度却轻描淡写，以至于微信字画赌博如此泛滥。请有关部门领导，好好整治一下微信字画赌博吧，给那些深受其害的家庭一个交代，衷心希望临沧市越来越美好。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
建房补助款,已办理,城建 求助,沈***,2018-11-2718:08,你好，我是云南省临沧市沧源县人，我去年第4季度去社区办理了危房改造手续。瓦房改造。工作人员说可以补助4万元。我于2017年12月27号动工。现在都2018年11月27日了，房子都建好了。这补助款11月25日那天才来了一万，还有3万什么时候来，工人等着我们付工人工资。,临沧市委办公室,你好，我是云南省临沧市沧源县人，我去年第4季度去社区办理了危房改造手续。瓦房改造。工作人员说可以补助4万元。我于2017年12月27号动工。现在都2018年11月27日了，房子都建好了。这补助款11月25日那天才来了一万，还有3万什么时候来，工人等着我们付工人工资。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
玉龙花园入住问题,已办理,城建 咨询,李***,2018-11-2409:01,尊敬的书记您好，我想请问一下我于2017年1月24日分配的玉龙花园19栋1单元1811的廉租房到底何时能交房入住，我看到留言说12月能入住，我就是想请问一下到底12月份能不能入住了,临沧市委办公室,尊敬的书记您好，我想请问一下我于2017年1月24日分配的玉龙花园19栋1单元1811的廉租房到底何时能交房入住，我看到留言说12月能入住，我就是想请问一下到底12月份能不能入住了,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
建议建设公租房,已办理,城建 建言,W***,2018-11-1914:36,本人于2018年毕业，在临翔区工作，刚参加工作，工资水平房租难以承受房租，但是没有公租房可供申请，公租房转租大量存在，已购房者还占用公租房，人才引进需要这些基建，申请了，因为人多申请不到情有可原，直接没得申请让本人顿感城市没有吸引力和优势,临沧市委办公室,本人于2018年毕业，在临翔区工作，刚参加工作，工资水平房租难以承受房租，但是没有公租房可供申请，公租房转租大量存在，已购房者还占用公租房，人才引进需要这些基建，申请了，因为人多申请不到情有可原，直接没得申请让本人顿感城市没有吸引力和优势,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
退役军人及优抚对象信息采集咨询,已办理,政务 咨询,傈***,2018-11-1816:14,杨书记，您好，本人云县人，现在在四川服役。我爷爷现年八十几岁，也是一个退伍老军人。全国各地都下发了《关于开展退役军人和其他优抚对象信息采集工作的公告》(其中采集包含现役军人家属)以及发放了慰问金、光荣之家的光荣牌。请问为什么我们云县没有接到类似的通知，也没有发放光荣之家的光荣牌？我们云县是遗漏了还是还没有开展此项工作?,临沧市委办公室,杨书记，您好，本人云县人，现在在四川服役。我爷爷现年八十几岁，也是一个退伍老军人。全国各地都下发了《关于开展退役军人和其他优抚对象信息采集工作的公告》(其中采集包含现役军人家属)以及发放了慰问金、光荣之家的光荣牌。请问为什么我们云县没有接到类似的通知，也没有发放光荣之家的光荣牌？我们云县是遗漏了还是还没有开展此项工作?,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
公租房,已办理,城建 投诉,芝***,2018-11-1609:47,公租房真正需要的人申请不到，申请了的人又高价转租，网上到处是公租房转租，去城建局问了公租房情况，说是没有房子租，说是让投诉，但是实际也是投诉无门。,临沧市委办公室,公租房真正需要的人申请不到，申请了的人又高价转租，网上到处是公租房转租，去城建局问了公租房情况，说是没有房子租，说是让投诉，但是实际也是投诉无门。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
建议扩建一下镇康县人民医院,已办理,医疗 建言,y***,2018-11-1608:20,尊敬的杨书记您好：镇康县人民医院地处边疆，医院医护人员医德高尚但规模相对小，业务用房少，医护人员大都无住房，要扩建一下改善就医环境，因这医院救死扶伤我很感激救了我们许多人的生命，在此建议！,临沧市委办公室,尊敬的杨书记您好：镇康县人民医院地处边疆，医院医护人员医德高尚但规模相对小，业务用房少，医护人员大都无住房，要扩建一下改善就医环境，因这医院救死扶伤我很感激救了我们许多人的生命，在此建议！,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
敬爱的杨书记，请求来凤庆营盘安平村查查扶贫项,已办理,三农 求助,W***,2018-11-1419:01,穷的没扶，村官只是扶亲没扶贫，扶贫没有洛到实处……,临沧市委办公室,穷的没扶，村官只是扶亲没扶贫，扶贫没有洛到实处……,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
2017年农村自建房补贴资金去哪里了,已办理,三农 求助,永***,2018-11-1209:29,领导您好：我是（临沧市、永德县乌木龙乡木厂村石砍子组）村民我姓周、我的房子是2017年3月份开始动工到2018年3月份完工了，我开始动工的时候，村委会的人跟我说、我的房子有国家补助的15000元钱，可是我到现在一分钱也没有拿到这是怎么回事呢？我想请领导帮我问问？,临沧市委办公室,领导您好：我是（临沧市、永德县乌木龙乡木厂村石砍子组）村民我姓周、我的房子是2017年3月份开始动工到2018年3月份完工了，我开始动工的时候，村委会的人跟我说、我的房子有国家补助的15000元钱，可是我到现在一分钱也没有拿到这是怎么回事呢？我想请领导帮我问问？,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
建房补助,已办理,政务 求助,@***,2018-11-0210:39,尊敬的领导你好，实在没有办法了，多有打扰请谅解，我是云县大朝山西镇村民，2016年初政府宣传有自建房每户补助两万圆，地梁浇筑好就补，2015年的有建筑意向就补，当时我们也就趁政策好，借钱建了，想着补了就还。但现在已经快三年了一分也没见补，到镇政府问了就说补是要补但没钱，到县政府问说叫回来镇上问，推来推去也没解决，快三年了，我们老百姓实在没办法了，望领导帮忙一下，打扰了，请谅解，谢谢谢谢谢谢,临沧市委办公室,尊敬的领导你好，实在没有办法了，多有打扰请谅解，我是云县大朝山西镇村民，2016年初政府宣传有自建房每户补助两万圆，地梁浇筑好就补，2015年的有建筑意向就补，当时我们也就趁政策好，借钱建了，想着补了就还。但现在已经快三年了一分也没见补，到镇政府问了就说补是要补但没钱，到县政府问说叫回来镇上问，推来推去也没解决，快三年了，我们老百姓实在没办法了，望领导帮忙一下，打扰了，请谅解，谢谢谢谢谢谢,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		云南省 >
    
		临沧市 >
    
	临沧市委书记杨浩东
"
