标题,状态,领域,用户名,时间,内容
歺饮破墙开后门，违建搭阁楼，无证油烟扰民,待回复,城建 求助,黑***,2018-11-1215:58,我们是徐汇区小木桥路339号居民，楼下店面房东“良友集团”租给了，羊肉面馆，药膳鸡锅店，香辣鸡米馆店，破墙开后门，违建搭阁楼，三家通宵经营，油烟，浓烈辛辣味，羊肉膻臭味非常严重，剌鼻呛喉，却难以开窗换气，晾晒衣被等，日，夜锅，碗，斩肉撞击声，剌耳马达声，厨房间上面就是居民的卧室，使人头晕脑张，咽痛咳嗽不停。
上海小寓公司拖欠200多员工两个月薪资以及五,待回复,企业 投诉,W***,2018-11-1208:59,从10月20开始，上海小寓信息科技有限公司，拖欠200余员工的9月份和10月份的薪资以及五险一金。徐汇区信访10月20号介入至今没有任何消息。请帮员工讨个公道。
为普通员工的辛苦讨薪,待回复,企业 求助,W***,2018-11-1208:56,市长:您好！我是来自外省打工的工薪阶层员工，在寓见公寓上班，工作了一年一切都可以的，但不曾想今年的十月份公司突然倒闭了！可我们辛辛苦苦挣得钱也不给发了，我们一个工薪阶层怎么去抵抗这些奸诈的商人呢！请您一定要为我们主持公道让这些奸商还我们的血汗钱！！
公司暴雷，拖欠员工工资,待回复,企业 求助,W***,2018-11-1208:54,上海小寓信息科技有限公司旗下子公司寓见公寓2018年10月16号宣布资金链断裂无法支付房东房租。寓见公寓的法人林小森已被控制，资金全部被上海华瑞银行冻结。但是寓见公寓全部高层以及在公司总部办公的人员均已收到工资，一线员工现在尚且收到工资，120左右没有发放工资，社保公积金均没有为员工缴纳。我们现在根本就找不到公司的管理人，没有任何说法给予我们。打电话给高层都说已经离职了，现在未收到工资的人连工作都不好找因为社保公积金无法转出。请政府帮帮我们这些没有工资的人，房东上门来撵人，老婆孩子还要养，真的快养活不了了。请政府帮帮我们吧。（上述情况本人承诺均已属实，如虚假愿意承担法律责任）
为什么镇府的餐饮店面无营业执照没人管,待回复,城建 投诉,W***,2018-11-1114:52,浦东新区惠南镇城东路155号南汇工业大厦，1楼和2楼，事情起因今年夏天在这里吃过龙虾.吃完后晚上肠胃不舒服、感觉这里不卫生，第二天特意来观察一下这边店铺有没有餐饮执照，后来发现这边一排餐饮店面都没营业执照。别的地方无营业执照都关闭了！难道这里是镇府收了好处没有关闭！还有旁边进出口一个路上放一个买彩票岗亭，放在路上影响市容，请领导好好查查，还市民一个健康餐饮。
投诉违法搭建长达五年未处理,上海市闵行区华漕镇人民政府,政务 投诉,W***,2018-11-1111:22,我是闵行区金丰路588弄西郊庄园2区19业主，自2013年12月投诉西郊庄园2区43号违建，政府主管部门已到现场确认为违建，《新民晚报》也予以报道，但五年来政府部门相互推诿扯皮，不仅让违建得以建成，而且至今未依法处理。
徐汇区田林路64号启动保健 购买了天价药材,待回复,城建 求助,正***,2018-11-1110:27,李书记，您好！我在2018年11月8日，在徐汇区田林路64号启动保健这家店被诱导购买天价药材，希望能退货。当天我从第六医院看病出来去田林路逛，看到此家店铺三七买一送1，老公有糖尿病所以想买给他吃，进去看了一下三七是50克120元买一送一，标价很清楚，我就买了3两多187元付了现金，店员向我推销石斛说如何如何好，就看到价格是39，这时店员就不停的和我说话并挡住了我的视线，说配上相同的比例效果如何好如何好，根本来不及看上面的价格，问他有什么活动说买2两送一两，我想39元50克价格不贵，我就说要2两吧，没有30秒功夫，中药磨成了粉速度相当的快，我看到标签价格后面的克写的很小，我说不要了，太贵了，店员说不买也不行了，已经磨成粉了，只能买，我就刷卡付了钱。从头到尾店员不说石斛是按克标注的，不跟客户引导正确，根本来不及看到是标注的单位计量，店员一个劲的跟你说话只字不提价格，店铺涉嫌欺诈行为，标注克数单位应该统一，如不统一，应该口头告诉客人，不然很容易让广大消费者混淆，并且店员不跟我确认总价就帮我磨成了粉告诉我必须购买导致了强卖行为，3两石斛3900元，化成一斤石斛1万3千元，对于一个我普通老百姓，一个月的工资没有了，当时想给工商局打电话想给老公打电话，又怕耽误老公上班怕他嫌我，手机又没有电了，自己卡里总金额就7000多元，后续还要看病，一下子买这个玩意买了3900元。网上一查自己是受骗了，真的后悔不已从那天开始吃不好睡不好还影响了家庭和睦，像是中邪了一样，一个月工资才4100，这就让我这么被骗掉了，我们不是没有爱心的人，捐助了云南贫困的孩子，水滴互助上总是献出自己的微薄爱心，为什么好人没有好报，被这样无良的商家欺骗。感觉瞬间变成了香港的影视明星蓝洁瑛...希望李书记我们的父母官帮我做主能退货处理，不胜感谢！祝李书记工作顺利！
浦东新区居民住宅搭建违章建筑扰民,上海市浦东新区东明路街道办事处,城建 投诉,C***,2018-11-1107:45,浦东新区永泰路775弄6号602搭建违章建筑，导致楼下住户漏水严重。并且在房中装水管使用，导致楼下住户漏水，且处理态度消极不愿承认，蛮狠霸道故沟通无果，只能向领导反映，望受理，谢谢！
浦江镇昌林路魔方公寓用电问题和边上厂房用车,待回复,交通 咨询,小***,2018-11-1014:30,1：位于闵行区浦江镇昌林路168 号电费一直为1.3元每度店想请问这个收费是合理的收费吗？2：在公寓旁边有个厂房的员工宿舍，每天都会有班次接送，但是这个厂房的班车从来也不看位于边上路口的一个小红绿灯，速度而且很快，有几次差点被碰到！希望领导能督促一下这边唱房的班车能看看红绿灯！不希望有一天真的碰到行人，那时候就晚了，就算企业再大也希望能遵守国家交通法规！
建议,待回复,交通 建言,卢***,2018-11-0912:07,李书记你好！　　上游发展是全国第一，可用惊人来形容，一点也不过分。但上海的公交漏洞很大，领导管理不作为。公交人员乘车不用买票（持假上车还示算在内），对公交人员乘车有明文也规定，工作证不能乘车，我看到公交公司发过员工卡，退休人员有退休证，离休证都可乘车，当然对离休人员凭证乘车毫无疑问（目前也看不到出示离休证乘车的老干部乘车了）。而公交人员凭工作证乘车非常普遍，现在上海智能为什么不能在公交实施呢，消除凭工作乘车证，堵隹漏洞，这确实是一笔很大的费用支出。这是我的建议。、　　　　　　　　　　　　　　　　　　　王国元　　　2011、11、08
享骑单车押金为何迟迟不退,待回复,交通 投诉,大***,2018-11-0807:44,领导您好，享骑单车是方便居民出行的交通工具，现在享骑单车根本用不了，押金299元已退了几月有余却迟迟退不出来，望领导重视
十一号地铁早高峰车次少,上海申通地铁集团有限公司,交通 投诉,W***,2018-11-0710:13,早上上班乘坐十一号线到曹杨路，间隔6七分钟才一班车，车厢都挤爆了！别外人上不去，车里人下不去，？住在郊区的上班族，能通往市里的只有十一号线，曹杨路前沿途每个站拍的队特别长，每一站能挤进去三五个几乎不可能。请问书记什么是民生问题？我们党不是一直提倡走群众路线吗，那就需要领导干部来体验一下，真正了解人民疾苦？车上的人挤的立足之地都没有，老年人，孕妇，孩子，做这样的车，他们的心情您能了解一下吗？真正解决早高峰的乘车问题，请李强书记出台政策！问题一天不解决，群众就在艰难中多生活一天！建议早高峰11号线2-3分钟一班车！这些问题就解决了！！
请将粘多糖四A药物纳入医保,上海市医疗保障局,医疗 建言,k***,2018-11-0708:31,我是上海罕见病粘多糖四A型患者的母亲，我女儿在2013.12月出生。女儿学习快机灵爱笑，一岁半就能流利说话，2岁就跟着音乐翩翩起舞，给我们大龄夫妻和爷爷奶奶全家带来很大的幸福。然而这一切美好时光戛然而止。2016年初经华大基因，新华医院多方确诊为罕见病粘多糖四A型患者。这个消息对我们的家庭来说是巨大的打击，孩子所有的未来都不复存在，家庭也没了希望。爱跳舞的女儿骨头已多处变形，脊柱后凸，膝盖外翻，身高停留在两岁的小孩，骨骼无力走不了远路。七十多岁的爷爷患有糖尿病，三叉神经痛多年，奶奶血栓多年已行走不便，但仍坚持照顾孩子。子女努力工作积累治病的钱却杯水车薪。由于4型骨髓移植效果不明显，只有酶替代药才能缓解病痛恶化。今年七月4岁的女儿开始她的第一个膝关节骨骼手术。最近听说美国治疗此病的药物刚获审批引进到中国，我们全家都非常激动，孩子的病情终于看到了生的希望，但此药费用高昂，期待上海市相关政府部门能比照其他罕见病的做法将粘多糖四型药物纳入医保 ，非常感谢！
李书记请您救救我们好人一生平安！,上海市宝山区高境镇人民政府,企业 求助,猎***,2018-11-0611:11,尊敬的领导您好！本人在2007年在上海位于宝山区殷高路555号二楼买了二个商铺当时包租三年，到2011年还给我们，但到现在2018年没还给我们，里面有一千多个业主，现在开发商没经过我们同意转租给别人开电影院。我们前前后后跑宝山区高镜镇府跑了一百多次，高镜镇府领导官商勾结，相互推诿非常严重！2016下半年上海市韩正书记要求全市拆除违章建筑的号召，在这时开发商还顶风大建违章建筑，当时所有业主都去高镜镇府反映问题，他们都置之不理。后来几百业主集体到镇政府门口才停工，后来我们收到开发商打电话恐吓我们说；镇政府的领导和区政府的领导都是他们兄弟，我们奈何不了他们。难道为人民服务只是一个口号吗？看着自己买了10年的房子拿不回来，看着许多年过花甲的业主们拿着2008就拿到房产证却拿不到房子那种无奈的眼神，发自内心的疼痛！当地政府的不作为给老百姓带来永远的愤怒和伤痛。
拆除违章建筑,待回复,城建 投诉,y***,2018-11-0521:56,上海市委书记李强     反映上海市长宁区空港六路221号内有多个黄色的房属无证的违建房，违建房紧贴着原英国领事馆霍更斯别墅（2010年左右被列入上海市第四批优秀历史建筑名单，编号4M046）。这些违建房严重地影响了城市的形象，更妨碍了优秀历史建筑的修缮。 希望有关部门按照“五违四必”精神，在国际博览会前，拆除这些违章搭建。
了解上海久降堂食品公司,待回复,企业 咨询,5***,2018-11-0508:40,李书记您好，我看到上海久降堂食品公司的产品卖的很火，是一种吃了能降糖的苦荞青稞面条，他们说是纯谷物不加任何东西。糖尿病人吃了他们的面条血糖就正常了。很多人都在吃，因为我家里有三个人是多年的糖尿病肾病患者。多方了解久降堂的食品也没有答案，所以没敢冒险去吃。我也想带着他们的面条去检测，可检测机构不对个人！无奈打扰您了！我想知道上海久降堂食品公司是不是正规的厂家？能降糖的面条里面是否有加了药物？我只希望我的家人能和正常人一样的生活！如果是纯谷物不加任何东西在里面，又有那么好的效果，我会去帮助更多的糖尿病患者。迫切希望得到您的答复，谢谢了！
上海社区公共户集体户口户籍证明难以及时办理,待回复,政务 求助,W***,2018-11-0322:36,领导您好，我和老公是都是研究生毕业之后通过算分落户上海集体户口。目前因办理签证，需要提供户籍证明。今年年初时跑一趟派出所就可以用身份证拿到户籍证明的，但现在必须要出具租赁备案证明才能办理了，而租赁备案办理另有一系列复杂的流程。原本只需要去一趟派出所的，现在要说服房东配合，再房产登记中心，再社区服务中心，再派出所。并且我们目前居住的房子是通过自如中介租赁的，房东已经出国。请问1：房东在租赁登记备案办理中有着决定性作用，不少社区表示要房东本人拿着身份证和房产证原件才能办理，如果房东不配合或因为出国之类的情况难以配合，是不是我们这样租房居住的集体户就没办法办理户籍证明，相应出境、购房都受到限制了？请问是否有房东不配合办理的相关推动举措？请问像我们这样通过中介租房的集体户口，是否能通过租房中介而非房东办理相关备案？请问2：像我和老公这样毕业之后算分落到集体户口的外地人，为何仅仅为了证明自己的户籍在上海就要面对这么多复杂的情况？请问为什么集体户口为了证明自己的户籍要付出的时间、金钱成本比有房的居民多出这么多呢？请问这是不是可以视作待遇歧视？请问所谓的简政便民为什么没有惠及我们这样的社区公共户居民呢？请问3：网签与租赁备案材料相同，是否违背了最多跑一次的理念？如果这只是短期过渡，请问户籍证明办理为何没有过渡期。我们这样的社区公共户集体户口居民希望与有房居民享有同等的权利和便利，相关问题望及时解答，并予以协助。
我的失业金交了为什么明细打印不出来。,待回复,医疗 投诉,小***,2018-11-0313:59,您好，市委书记，是这样的我是上海本市户籍，2014年到2017年4月在上海工作，后因家庭原因到合肥工作，现工作单位有个福利政策失业保险技能提升补贴，但是要工作满36个月，合肥这边的工龄达不到，咨询合肥市社保局说可以算上上海的，但是去上海社保局办理说上海统一缴纳的在一起都是养老保险没有单独的，然后我这边反应给合肥这边的社保局他说真的没有也行，开一个你缴纳失业金的一个证明，但是上海这边说开不了，没有这样的证明，但是我们确实交过了失业金，上海没有这样的明细打不出来我们也理解为什么，连一个证明都不愿给我们开，社保局和就业促进中心来回踢皮球，这样让我们很失望。合肥社保局说问题出现在你们那边，为什么交了失业金确开不了证明或者没明细。
关于购房提取公积金网上无法查询审核状态的问题,上海市公积金管理中心,政务 建言,挨***,2018-10-3115:23,我昨天去建行办理了购房提取公积金，手续办理好以后，银行人员通知我，让我回家等消息，说一个月过后会有银行人员打电话告知我最终审核结果。感觉不太方便，是否可以在建行或者公积金官网上提供一个入口，时时查询提取公积金的审核状态？？？因为电话通知会存在漏接电话的情况，有时候手机上的识别软件会错误的识别是推销电话，然后被直接挂掉，就错过接听电话了。
要求理优教育科技有限公司退款,待回复,教育 建言,W***,2018-10-2715:42,李书记，你好，我是陕西省汉中市留坝县江口镇的一名学生家长。9月21日我在上海理优教育科技有限公司理优1对1给孩子报了360学时的网络课程，但只上了19.5课时的时候，他们就发出通知单方面停课，通过与老师沟通，他们学校没有什么解决办法，直说让等候通知，一周了也没有任何答复，请上海市委市政府维护我们的权益，我要求理优给我退款，感谢李书记
李书记您好，我是一名上海理优教育科技有限公司,待回复,教育 投诉,W***,2018-10-2715:40,学员的家长，前几天收到老师停课信息，说是理优公司因有案子在诉讼，被银行冻结存款，员工已俩月未发工资，我们家长和孩子也不知道怎么办？孩子上不了课，家长要不回培训费。不知道怎么微权，打了市民热线说是要去上门登记的，我们是外地的，希望政府能介入调查此事，妥善处理好。保护我们家长的最大利益，最好希望能有人接盘在此谢谢书记大人。
上海理优教育科技有限公司诈骗学生学费,待回复,教育 投诉,W***,2018-10-2715:40,上海理优教育科技有限公司突然停止运营，欠4000多学生的课程费4000万以上，请求政府立即冻结该公司资金，控制该公司负责人，降低家长们的损失。
拆迁安置房迟迟不能办理房产证,上海市浦东新区周浦镇人民政府,政务 投诉,你***,2018-10-2514:14,农村宅基地拆迁既然是政府要求的拆迁 那安置房房产证几年了都不能办是不是应该处理一下 本人今年89岁再拖下去只能去阴间办了2015年签的约 履约到2016年10月 现在2018年10月了已经  麻烦看一下上海市浦东新区周秀路26弄的拆迁安置房什么时候能办产证，还有一间安置房影子我都没看到什么时候才能安置到位。另外我年纪大了要遗嘱公正给一直照顾我的儿子，现在没有房产证我怎么遗嘱公正??? 政府能不能帮忙解决一下。
国企有担当！,待回复,企业 感谢,随***,2018-10-2407:33,2018.8.16日反应光明乳业关于离职员工福利待遇的问题已经得到光明乳业股份有限公司回复并给出解决方案！感谢光明乳业股份有限公司！
罗泾大型湿垃圾站拟建在居民区300多米处,上海市宝山区人民政府信访办公室,城建 投诉,h***,2018-10-2313:58,问好，书记！罗泾大型湿垃圾站计划建在居民区300多米处，致民生于不顾，遭两个小区共计一万多人强烈反对和抵制，民众多次信访，上访无果，见相关领导一面难如登天，环评数据和民意调查也均有作假。此外，大型垃圾场紧紧靠着刚刚花很大代价清肃整理的河道(不到5米)，离上海四大水库之一的陈行水库也仅有5.2km，对环境影响无法估计。虽然是04年就有的规划，但是毕竟14年过去，时过境迁，当时合适的方案和选址放在现在已经不合适，甚至已经违规。我们的诉求是远离居民区3km以外，远离水源地！这里留言也许能让上面的领导看到，也许不能！但不管怎样，我们为了自己的家园，为了维护自己的合法权会不断向外发出我们的声音！
揭露黑幕,上海市文化和旅游局,旅游 投诉,上***,2018-10-2313:44,我是一个刚参加无锡天宝国旅的美籍华人，昨天下午被天宝国旅的导游带进上海钦江路88号一楼一家药店，我们当时到的时候门口停了几部旅游大巴，很热闹，该药店和我在百度想查找一些旅游线路的信息，无意中看到张家界报道宝树宝的黑幕很一致的。所以我才将我所这一次所经历的遭遇向上海市政府领导如实反映，我们旅行团昨天下午进入上海钦江路88号这家药店的养生中心时一该店也是先给我们提供免费泡脚，并由一个自称姓崔的中年女讲师给我们讲述养生泡脚和保健常识，之后就请进他们自称的好几个气功大师进来给我们团的游客逐一看病，原来他们竞然是釆用藏在皮鞋底的发电装置来发电电我们的，他们慌称是祖传气功大师，因为我有关节疼痛所以我当时也信以为真他们是气功大师，万万没想到他们是用电来电我的，真是可恨之极，本想让他帮我气功治疗一下，却没有想到假气功帮不了我治病，强电流反而会电死我身上的细胞，这些不法假气功大师为了达到他们谋取暴利，竞然采用这种电伤人的非法手段和诈骗行为，来诱导我们这些海外游客他们恶意釆用他们稳藏在身上的直流电，来伤害我们的心身健康，不知道这种行为，《是否已经触犯到中国政府的法律吗？》我这次回国旅游探亲发现到处都张贴了，扫黑除恶的大标语，假气功电人，纯属恶意伤害他人的身体健康，在此我呼吁上海市政府领导和公安机关应该及时对此类假气功恶意电人行为，进行调查论处，才能避免这些为了谋取暴利也不顾及他人的人身安全，总有一天会电伤人或者电死人的悲剧发生。
建议浦东新区杨南路689弄小红楼西侧围墙拆除,上海市浦东新区三林镇人民政府,城建 求助,A***,2018-10-1921:42,尊敬的李书记：    我向书记反应一个情况，浦东新区杨南路689弄小红楼小区西侧围墙属于违法建造，不仅影响了小区全体业主的生活环境，也影响了市容市貌，更严重的是堵上了业主仅有的安全绿色通道，存在极大的消防安全隐患和各类隐患。望有关部门领导给予重视，谢谢！
百姓睡眠无人管,待回复,城建 投诉,宋***,2018-10-1911:25,李书记，我们是曹杨路303弄锦绿新城的居民，我们底下直接面对着宁夏路曹杨路转角，最近一周多来，整天晚上通宵作业，突突的挖掘机响彻整夜（毫不夸张），，就算重点施工也得晚上让人睡觉吧？就算一夜不睡也不能一周不睡吧？对于施工的必要性我们小老百姓不知道，反正没有任何好处，但至少能睡吧？12345我们打了说是没有用，是有晚上施工许可证的，如果不是实在没办法，是不会这么深夜，数夜不睡情况下贸然向您老投诉的，请赐我们小区安睡，跪谢了1
上海住房公积金领取,上海市公积金管理中心,政务 建言,W***,2018-10-1814:49,本人在上海嘉定区工作，户口在老家，于2017年在老家购买房屋一套。付首付，建行贷款六十万。咨询上海住房公积金，告知必须持有不动产权证才可以领取住房公积金。对于上海市的这个政策真是无语，有钱人从来不会缺这钱，而穷人还指望这个救急。所有的规规条条都是在制约这老百姓。试问有几个开发商能在交房后短时间内把房产证办好，更何况是我们这种小城市，不拖了三五年是不肯能的。而我在住房合同，贷款合同，房款发票都齐全的情况下却不能领取我交的住房公积金，同时还要每月还着贷款，每月交着住房公积金，真是一种讽刺啊。上海做为一个政策都走在全国头里的大都市，偏偏与老百姓切身相关的政策走在了后头。也许这就是悲哀吧，一个老百姓的悲哀。
浦东大道东波路附近赵家沟大桥没有加装隔音扰民,待回复,交通 投诉,幼***,2018-10-1720:44,浦东赵家沟大桥，每天大车经过，没有加装隔音带，噪音很严重，晚上睡觉开窗都不可以，必须要两层窗户！！！
浦江线噪音严重，请公正了解,上海申通地铁集团有限公司,交通 投诉,W***,2018-10-1710:24,您好： 关于地铁8号线延长线（浦江线）的严重噪音问题，希望能够被公正的了解过问一下。情况简述如下：浦江线轨道三鲁路路段距离居民楼只有几米之遥，胶轮通过时确实噪音较小可以接受，反馈时已反复和申通说明，【但是，车辆通过时发电机的声音尖锐且巨大】每天从早上6点到晚间11点左右，每隔10分钟的车辆通行，即便关着双层窗户也非常清晰，和申通工程师电话沟通时也反复说明，声音是向上传导的，在路面上听到声音较小，但是轨道之上的楼层，声音尖锐巨大，在家中实际测试有时会超过70分呗，关上窗都听的如此清晰，更别说开窗了。居民生活中被噪音严重影响，不止一户通过各种渠道反馈情况。在浦江线测试阶段就已经有很明显的噪音，当时已通过12345反馈，申通起初还很好，快速就有工程师电话来访，了解实际情况，当时说正在调试，确实有电机的声音，但是要先保障按时开通，请居民耐心等待，已经在和领导、供应商等多部门开会商量解决方案了。后来多次的反映，投诉，同时通过12345平台，也发了在家中实际录的视频给到申通，视频中地铁通行的噪音清晰可见；然后申通就开始各种推诿，说已经通过环评了，没有任何问题！但是，每天的噪音就实际存在啊，任何一人真正想要解决问题的人来听都听得到。就这样再每天噪音的忍受中，已经投诉快1年时间了。诉求很简单：感谢市里规划的地铁线路，确实便民。但请申通不要推诿逃避，距离居民楼这么近，轨道以上的楼层噪音是不能说假话的，确实存在，天天如此真的无法忍受了【希望轨道能加装隔音设施，确实缓解通行的电机尖锐噪音，哪怕一点也好，还旁边居民每日一点清净】感谢
叮当出行押金不能退回,上海市消费者权益保护委员会,交通 投诉,勇***,2018-10-1710:22,上海口亿公司叮当出行退步了押金。2018年9月20日左右 在叮当出行app发现押金退不了，就打客户热线电话，客服接电话的人员，让我告诉手机号和之前转押金的支付宝订单，我把这些都告诉了客服人员，客服人员说七个工作日退押金，现在都过了20多天了，期间也给客服打了五六次电话交涉，都说帮我核实下，结果后面都没有动静了，直到我写留言的时候也没有退我押金。
反对罗泾镇建立垃圾中转在潘川路1510号,上海市宝山区人民政府信访办公室,城建 投诉,h***,2018-10-1608:51,潘川路1510号现在修建大型垃圾站日运送生活垃圾500吨，旭辉小区仅仅距离500米，小区有金石幼儿园 ，在园人数400人。居民上万人。对生态环境，身体健康造成极大影响。宝山区旭辉城在潘泾路4655和4777号，商品小区房修建于2014年，而此次规划造垃圾站是2004年的规划，敢问领导，如果修建垃圾站为什么还要建商品住宅房销售给我们老百姓。请市长给我们百姓一天活路。我们小区老百姓已经去宝山工业园区反映，园区说04年规划为垃圾站，为什么14年还要建设商品房销售给我们。小区的孩子们盼着市长的回复。
小区楼房楼板隔音太差，周边居民素质差，楼道脏,上海市嘉定区安亭镇人民政府,城建 投诉,迟***,2018-10-1418:31,嘉松北路7222弄大众春盛苑是02年的老小区了，高层11层的住房是一体四户的房型，房屋楼板结构松散，貌似空心，楼上楼下居民出入开门声、楼上挪桌椅的声音，任何一个住户都可以清晰听见。这显然是开发商的责任。然而，小区居委和物业管理松散，管理人员换过多届，服务不到位，体现在部分居民素质低下，居委根本宣传不到位，经常可以听见杂音扰民、商贩叫卖、电梯老化、车辆乱停乱放，无关人员随意出入、绿化分散不均。希望有关部门能够重视，还清新优雅的居住环境于民。
黑社会霸占商城，地方政府不作为,上海市奉贤区南桥镇人民政府,城建 求助,小***,2018-10-1417:59,奉贤南桥百兴路8号绿天商城，10年前开发商卖光了商铺卷款跑路，扔下一个无赖物业利争公司霸占小业主的商铺10年不招商，小业主努力自救，去年成立了绿天商城业委会，启动招商，终于引进了城太招商公司，签约率现已接近90%。城太公司却不能进行招商和装修，因为霸占我们商铺10年靠着收停车费生存的利争物业，和已经宣布放弃绿天商城经营权的强满公司，找来了黑社会一直在商场捣乱，利争物业强占商场不肯退出，强满公司甚至带着一批人天天去城太公司招商处吵吵闹闹，政府相关部门不作为，致使城太公司顾虑重重，眼看这次招商要泡汤，我们小业主的利益谁来保护？
事情已经解决,待回复,旅游 感谢,四***,2018-10-1314:15,您好！通过旅行社，之前购物的事情已经解决！谢谢！
职工住房公积金提取条件过于苛刻,上海市公积金管理中心,政务 投诉,B***,2018-10-1209:12,领导您好，现在政府都在讲更好的为人民服务，但上海公积金提取规定过于僵硬，不能够考虑更多人的利益。购房提取公积金必须要房产证原件（杭州购房房产证需要至少两年才能办理下来），用购房合同和发票都不可以。我和爱人真真实实的买了我们的第一套房子，但是不能用我们自己缴纳的公积金，这很讽刺，与我们缴纳公积金的本意相违背。
关于达达公司的问题,待回复,企业 投诉,叔***,2018-10-1110:54,尊敬的李书记：    您好！    上海趣盛网络科技有限公司下属的达达平台因为用户的恶意投诉，公司将我永久拉黑。我账户的351元无法提出。被冻结。达达公司也不给我申诉的权力。    请领导批示相关部门为我主持公道。
国庆参团购物被骗,待回复,旅游 求助,四***,2018-10-0708:29,尊敬的李强书记：   您好！值此国庆佳节期间，首先祝您及家人节日快乐，身体健康！   我是一名来自四川的、参加旅行团的游客！在国庆期间有幸游览了大上海！到也正因为此次旅行，我遭遇了一次糟心的事情！我们是游览华东五市及上海的行程！在最后一站，上海，我们随导游去到了一家所谓玉石加工厂！在这里，店家上演了一出自编自导自演的“戏剧”给我们这帮游客看！诱导我们高价买下了所谓的“金镶玉”！   事后，我们翻盘醒悟，请教了我做珠宝玉器生意的朋友，经鉴定，所谓价值连城的墨玉，只是批发价几十块的廉价东西！如今我们因行程紧迫，马上就要返回四川泸州了，恳请您能在百忙之中替我们这帮普通百姓将这件事情能够得到圆满的解决！谢谢   此致敬礼                      一名焦急等待的四川游客   
求助！！,上海徐房（集团）有限公司,城建 求助,孤***,2018-10-0211:30,我是天平路91弄70号居民，家住3楼亭子间。此房屋属于煤卫共用的老式砖木结构公房，房间很小，隔音也比较差。2楼亭子间居住的是一位老先生，最近居住到他亲戚家去养老了，于是将2楼亭子间出租给一家不知名的托管公司。此公司（下面简称二房东）将房屋进行装修后又出租给别人。我现在反应3件事。其一：二房东装修时我正好在外地，等我回上海时，他已经装修完毕。但是二房东胡乱装修，将2/3楼隔音层完全去除，并在只有10平米的居住房间内新装了个卫浴设施。现导致3楼居民不堪其扰，完全没办法得到正常的起居作息。其二：二房东装修此房间的目的很明确，就是作为短租/日租/民宿使用，从7月底到现在，此房间短时间租住的客人非常多，都是住1-5天的客人，导致我们整幢房屋的居民的个人生命及财产安全无法得到正真的保障。其三：我们整幢居民通过12345，12319和物业还有居委会等等的投诉通道进行了不下数十次的投诉，期间物业有人上门开具违章建筑整改通知，二房东稍作简单的修复隔音层，并没有拆除淋浴房，但物业也没有下文了，投诉到城管处，城管称此事需物业出面。投诉到徐房集团，徐房集团称2楼的确违规，但需执法部门处理。那到底应该哪个政府部门来正真的彻底的管理此事？
绿地集团于甘肃兰州新区非法违规举报,待回复,城建 建言,热***,2018-10-0211:18,绿地集团子公司兰州新区绿地置业有限公司违反多项政策及法规1.不符合验收标准的情况下强制业主收房2.非法垄断电信业务及供暖业务，通国家倡导的提速降费背道而驰，非法打包业主权益出售。同当地住建部及政府相关人员权利寻租有极大关系。希望总部位于上海的绿地集团能受到法律法规的约束，停止伤害业主利权益。
