标题,状态,领域,用户名,时间,内容,回复单位,回复内容,回复时间
户口迁入,已办理,政务 求助,芳***,2019-05-1508:15,市长你好，我是一名外来从业人员，嫁给上海老公已满十年，且超过35周岁。现符合政策户口从老家迁过来。在办理过程中，其它证明我都准备好了，但有一个（无业凭证，失业证，待业证）老家无法开具。户口本2016年全国统一城镇合一是居民家庭户老家派出所说我属于是农民户口性质不存在失业待业，所以这个证明无法开具，老家派出所也帮我开具了农民户口证明上海这边说没用，上海浦东顾路派出所说一定要这个无业凭证明，没有这个证明就不能转户口了吗？,浦东新区区委网信办,市长你好，我是一名外来从业人员，嫁给上海老公已满十年，且超过35周岁。现符合政策户口从老家迁过来。在办理过程中，其它证明我都准备好了，但有一个（无业凭证，失业证，待业证）老家无法开具。户口本2016年全国统一城镇合一是居民家庭户老家派出所说我属于是农民户口性质不存在失业待业，所以这个证明无法开具，老家派出所也帮我开具了农民户口证明上海这边说没用，上海浦东顾路派出所说一定要这个无业凭证明，没有这个证明就不能转户口了吗？,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		上海市 >
    
		浦东新区 >
    
	浦东新区区委书记翁祖亮
"
拆违怎么这么难，谁能帮助我们,已办理,城建 求助,七***,2019-05-1313:59,"尊敬的区委书记，您好！我是浦东新区林展路267弄24号405的居民，我今天要反映的是邻居违章搭建有严重火灾隐患。邻居406，在我家与他家以及的公共走道、通风井、消防通道处，违章搭建，并私自拆除消防门，自行安装了铁门，并把他家的门也往外移，导致他开门我就无法开门，最夸张的是在走道正对我家窗户下建造佛龛（宽1.5米，高2米）并且每天点火烧香念经，佛龛下面堆满了纸板箱等物品，每天都害怕发生火灾，存在严重的消防隐患。公共走道宽最多1米，堆满了开麻将馆的麻将座子椅子，走路的时候只能1人通过，所有公共区域都被搭建了柜子或堆满物品，如遇火情消防员都没办法救火，我们真的很怕。他家是出了名的流氓，在家里开麻将馆，每天晚上都很吵，还很牛的说我只有一个麻将台子派出所也拿我没办法。我们向物业，居委、街道、12319热线投诉了，但至今这一违章建筑还没拆除。 物业说他们本来开麻将馆在14楼的，邻居实在是无法忍受，一直打110，打架也打过几次了，没办法做生意了，就把麻将馆搬到楼下了。我们物业不敢去的，405老凶的，要么你们跟14楼学一下。当天我们就报了110，,405到了派出所大放厥词佛龛我不会搬的，请神容易送神难，谈也不要谈，有本事你来拆。我们感觉投诉无门，难道要逼我们以暴制暴。希望，基层政府相关部门，急群众所急，为民解忧，有法必依，违法必究，树立党和政府在群众中的威望。希望通过姚区长介入，能尽快处理并给我们一个答复。谢谢！ 2019年5月13日",浦东新区区委网信办,"尊敬的区委书记，您好！我是浦东新区林展路267弄24号405的居民，我今天要反映的是邻居违章搭建有严重火灾隐患。邻居406，在我家与他家以及的公共走道、通风井、消防通道处，违章搭建，并私自拆除消防门，自行安装了铁门，并把他家的门也往外移，导致他开门我就无法开门，最夸张的是在走道正对我家窗户下建造佛龛（宽1.5米，高2米）并且每天点火烧香念经，佛龛下面堆满了纸板箱等物品，每天都害怕发生火灾，存在严重的消防隐患。公共走道宽最多1米，堆满了开麻将馆的麻将座子椅子，走路的时候只能1人通过，所有公共区域都被搭建了柜子或堆满物品，如遇火情消防员都没办法救火，我们真的很怕。他家是出了名的流氓，在家里开麻将馆，每天晚上都很吵，还很牛的说我只有一个麻将台子派出所也拿我没办法。我们向物业，居委、街道、12319热线投诉了，但至今这一违章建筑还没拆除。 物业说他们本来开麻将馆在14楼的，邻居实在是无法忍受，一直打110，打架也打过几次了，没办法做生意了，就把麻将馆搬到楼下了。我们物业不敢去的，405老凶的，要么你们跟14楼学一下。当天我们就报了110，,405到了派出所大放厥词佛龛我不会搬的，请神容易送神难，谈也不要谈，有本事你来拆。我们感觉投诉无门，难道要逼我们以暴制暴。希望，基层政府相关部门，急群众所急，为民解忧，有法必依，违法必究，树立党和政府在群众中的威望。希望通过姚区长介入，能尽快处理并给我们一个答复。谢谢！ 2019年5月13日","
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		上海市 >
    
		浦东新区 >
    
	浦东新区区委书记翁祖亮
"
上南路及外环高架车流声吵,已办理,环保 投诉,M***,2019-05-1215:34,书记您好：      我是永泰路630弄（永泰花苑）35号业主，不知是否也有住户向您求助过，我家35号临近上南路及外环高架，我住了将近十年，原来就感觉不算太安静但完全没到吵的地步，最近两年上南路及外环频繁的有大卡车经过，白天噪音在50-70分呗之间，而夜间在40-60分呗，夜间不管任何时间隔几秒钟就有大卡车经过，那种车流声吵得即便关上窗门也听的十分清楚，至凌晨4 点车流声更是吵的和站在徐家汇马路中间有的一拼，每天24小时都是车流声车发动的声音，不带停的，可2017年以前完全没有这个困扰，几乎听不到大卡车的声音，目前特别哭闹，夜间更是无法入睡。,浦东新区区委网信办,书记您好：      我是永泰路630弄（永泰花苑）35号业主，不知是否也有住户向您求助过，我家35号临近上南路及外环高架，我住了将近十年，原来就感觉不算太安静但完全没到吵的地步，最近两年上南路及外环频繁的有大卡车经过，白天噪音在50-70分呗之间，而夜间在40-60分呗，夜间不管任何时间隔几秒钟就有大卡车经过，那种车流声吵得即便关上窗门也听的十分清楚，至凌晨4 点车流声更是吵的和站在徐家汇马路中间有的一拼，每天24小时都是车流声车发动的声音，不带停的，可2017年以前完全没有这个困扰，几乎听不到大卡车的声音，目前特别哭闹，夜间更是无法入睡。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		上海市 >
    
		浦东新区 >
    
	浦东新区区委书记翁祖亮
"
祝桥朝农新村飞机噪音问题,已办理,环保 求助,y***,2019-05-1213:35,   尊敬的领导您好，我是住朝农新村的居民。这里飞机噪音问题一直影响着人们的生活，白天有飞机噪音晚点也会有噪音，影响了休息。望领导能想办法给予帮助，谢谢。,浦东新区区委网信办,   尊敬的领导您好，我是住朝农新村的居民。这里飞机噪音问题一直影响着人们的生活，白天有飞机噪音晚点也会有噪音，影响了休息。望领导能想办法给予帮助，谢谢。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		上海市 >
    
		浦东新区 >
    
	浦东新区区委书记翁祖亮
"
浦东新区归昌路占道经营等问题,已办理,城建 建言,偷***,2019-05-1117:04,浦东新区归昌路东西段安居苑八街坊楼下，占道经营，大声吆喝，严重扰民，乱停车，遮挡车牌，即使有电子警察也故意遮挡车牌，希望相关部门严查，共创良好营商生活环境。谢谢！,浦东新区区委网信办,浦东新区归昌路东西段安居苑八街坊楼下，占道经营，大声吆喝，严重扰民，乱停车，遮挡车牌，即使有电子警察也故意遮挡车牌，希望相关部门严查，共创良好营商生活环境。谢谢！,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		上海市 >
    
		浦东新区 >
    
	浦东新区区委书记翁祖亮
"
挖地铁致莲溪一村房屋塌陷，盼紧急撤离,已办理,城建 投诉,杨***,2019-05-0916:36,地铁18号挖掘，致浦东新区北蔡莲溪一村多栋房屋下沉，承重梁开裂，家家有裂缝，天花板掉落，阳台剥离，情况危急，人命关天，盼赶快安排撤离！,浦东新区区委网信办,地铁18号挖掘，致浦东新区北蔡莲溪一村多栋房屋下沉，承重梁开裂，家家有裂缝，天花板掉落，阳台剥离，情况危急，人命关天，盼赶快安排撤离！,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		上海市 >
    
		浦东新区 >
    
	浦东新区区委书记翁祖亮
"
浦东新区乡镇建设滞后,已办理,交通 建言,文***,2019-05-0809:55,我去过浙江与江苏等很多地方，这些城市的乡镇建设与规划都非常好，川沙、惠南镇，十多年无变化，特别是惠南镇南门路与沪南公路交叉南侧地区，破烂不堪十多年无变化，浦东新区城市规划部门严重失职，驴粪蛋表面光，只顾建设张江与临港，忽视人民日益增长的美好环境需求，不重视民生建设，不关心人民关心的关键小事。很多人到惠南镇，都怀疑是不是上海?浦东新区城市规划部门，建议你们到杭州苏州城乡看看，人家是如何规划与建设的，我们期待政府尽快改善惠南镇、川沙镇乡镇的城市环境。请你们学习苏州杭州的乡镇建设思路。,浦东新区区委网信办,我去过浙江与江苏等很多地方，这些城市的乡镇建设与规划都非常好，川沙、惠南镇，十多年无变化，特别是惠南镇南门路与沪南公路交叉南侧地区，破烂不堪十多年无变化，浦东新区城市规划部门严重失职，驴粪蛋表面光，只顾建设张江与临港，忽视人民日益增长的美好环境需求，不重视民生建设，不关心人民关心的关键小事。很多人到惠南镇，都怀疑是不是上海?浦东新区城市规划部门，建议你们到杭州苏州城乡看看，人家是如何规划与建设的，我们期待政府尽快改善惠南镇、川沙镇乡镇的城市环境。请你们学习苏州杭州的乡镇建设思路。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		上海市 >
    
		浦东新区 >
    
	浦东新区区委书记翁祖亮
"
老小区，车主私装地锁。没人管,已办理,治安 求助,你***,2019-05-0809:12,浦东新区惠南镇卫星东路113弄，金汇广场二期小区。车主私装地锁，其它车主效仿。后患无穷，恐矛盾计划造成严重后果，请相关部门干预治理。,浦东新区区委网信办,浦东新区惠南镇卫星东路113弄，金汇广场二期小区。车主私装地锁，其它车主效仿。后患无穷，恐矛盾计划造成严重后果，请相关部门干预治理。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		上海市 >
    
		浦东新区 >
    
	浦东新区区委书记翁祖亮
"
投诉丁香路1197号全家超市噪音扰民和光污染,已办理,城建 投诉,萧***,2019-05-0808:35,翁书记您好！我是丁香路1197号全家超市楼上的居民，全家24小时营业时长半夜10点以后还放音乐或叫卖广告。白天也会放喇叭做宣传广告。晚上进店或出店都有音乐响起。门头灯箱夜间很亮，造成我家晚上睡觉跟白天一样。因为这个我自己换了隔光窗帘。我会打电话提醒他们关闭音乐，2019年5月7日晚10:40店内值班员工态度恶劣。之前多次报110，警察来了音乐也就关了。解决不了最终问题。想找该店铺老板协商，也联系不到。请问：居民楼下店铺可以24小营业吗？这样得噪音污染和光污染如何解决？感谢！,浦东新区区委网信办,翁书记您好！我是丁香路1197号全家超市楼上的居民，全家24小时营业时长半夜10点以后还放音乐或叫卖广告。白天也会放喇叭做宣传广告。晚上进店或出店都有音乐响起。门头灯箱夜间很亮，造成我家晚上睡觉跟白天一样。因为这个我自己换了隔光窗帘。我会打电话提醒他们关闭音乐，2019年5月7日晚10:40店内值班员工态度恶劣。之前多次报110，警察来了音乐也就关了。解决不了最终问题。想找该店铺老板协商，也联系不到。请问：居民楼下店铺可以24小营业吗？这样得噪音污染和光污染如何解决？感谢！,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		上海市 >
    
		浦东新区 >
    
	浦东新区区委书记翁祖亮
"
上海市第二工业大学学生宿舍。,已办理,教育 投诉,无***,2019-05-0710:32,我是孩子的家长。我的孩子在上海第二工业大学读大二，我恳求书记大人，监督上海第二工业大学学生宿舍。我的女儿每次打电话给我。总是告诉我说她每天都休息不好。我就问她是什么原因导致你休息不好。他说:他们宿舍每天该休息的时间，孩子们不休息，不该休息的时间，她们却在休息。每天睡到半夜。这些孩子们却跑起床玩电脑，玩手机，和别人和网友视频。说话声音很吵，导致我休息不好。我就说你提醒一下他们，叫她们别吵。别人还要休息呢。女儿说:当时和他们说，他们声音会小一点，可是过了一会儿，他们声音又大了起来，根本没办法休息。我就说那你怎么办？你可以向上级部门反应。女儿说这个不能反应，如果反应他们会知道是我投诉的，到时候会找我麻烦，让我在学校没办法立足。再说了，那些坏的学生在学校很会讨好老师和管理员。所以说不能投诉，如果投诉我就没有立足之地。我是孩子爸爸偷偷把这个事情向书记反应。请求书记帮帮忙解决。调查二工大学生宿舍，一定要暗查，不能明查。明查解决不了问题。,浦东新区区委网信办 ,我是孩子的家长。我的孩子在上海第二工业大学读大二，我恳求书记大人，监督上海第二工业大学学生宿舍。我的女儿每次打电话给我。总是告诉我说她每天都休息不好。我就问她是什么原因导致你休息不好。他说:他们宿舍每天该休息的时间，孩子们不休息，不该休息的时间，她们却在休息。每天睡到半夜。这些孩子们却跑起床玩电脑，玩手机，和别人和网友视频。说话声音很吵，导致我休息不好。我就说你提醒一下他们，叫她们别吵。别人还要休息呢。女儿说:当时和他们说，他们声音会小一点，可是过了一会儿，他们声音又大了起来，根本没办法休息。我就说那你怎么办？你可以向上级部门反应。女儿说这个不能反应，如果反应他们会知道是我投诉的，到时候会找我麻烦，让我在学校没办法立足。再说了，那些坏的学生在学校很会讨好老师和管理员。所以说不能投诉，如果投诉我就没有立足之地。我是孩子爸爸偷偷把这个事情向书记反应。请求书记帮帮忙解决。调查二工大学生宿舍，一定要暗查，不能明查。明查解决不了问题。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		上海市 >
    
		浦东新区 >
    
	浦东新区区委书记翁祖亮
"
乡村发展了 我越发难以入眠,已办理,环保 投诉,新***,2019-05-0708:52,翁书记，您好。现在将近凌晨两点，我却无法入睡。我家住浦东新场镇果园新西村，旁边的维也纳酒店的确方便古镇旅游客但却苦了我们本地老百姓。一个是巨大而且鲜红的招牌，一到夜里血红血红照的方圆几里居民拉窗帘都没用要到半夜才关，第二个就是顶层的空调机组发出来噪音一直无法根除现在凌晨两点还是有，另外现在美丽乡村建设加装了大批的路灯和高亮监控 把原本静谧的夜晚照如白昼，之前反应12345后确实有一定改善，但架不住五个灯一起照过来，三晚不能好好睡了。我是一名国企投资部员工，每天大量的脑力晚上不能好好休息真的很困扰我。希望您能帮帮我，谢谢～附上照片以证明,浦东新区区委网信办,翁书记，您好。现在将近凌晨两点，我却无法入睡。我家住浦东新场镇果园新西村，旁边的维也纳酒店的确方便古镇旅游客但却苦了我们本地老百姓。一个是巨大而且鲜红的招牌，一到夜里血红血红照的方圆几里居民拉窗帘都没用要到半夜才关，第二个就是顶层的空调机组发出来噪音一直无法根除现在凌晨两点还是有，另外现在美丽乡村建设加装了大批的路灯和高亮监控 把原本静谧的夜晚照如白昼，之前反应12345后确实有一定改善，但架不住五个灯一起照过来，三晚不能好好睡了。我是一名国企投资部员工，每天大量的脑力晚上不能好好休息真的很困扰我。希望您能帮帮我，谢谢～附上照片以证明,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		上海市 >
    
		浦东新区 >
    
	浦东新区区委书记翁祖亮
"
寓见公寓倒闭害了不少人呀！,已办理,企业 求助,大***,2019-05-0614:58,我是寓见公寓的一名租客，寓见公寓为我办理了元宝亿家分期贷款还房租，中间寓见公寓突然倒闭！已经不在里面居住了，寓见公寓也联系不上，退租不了，还的为元宝亿还贷款，押金也没有着落,浦东新区区委网信办,我是寓见公寓的一名租客，寓见公寓为我办理了元宝亿家分期贷款还房租，中间寓见公寓突然倒闭！已经不在里面居住了，寓见公寓也联系不上，退租不了，还的为元宝亿还贷款，押金也没有着落,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		上海市 >
    
		浦东新区 >
    
	浦东新区区委书记翁祖亮
"
违章，无人管,已办理,交通 投诉,雷***,2019-05-0308:40,领导你好，在浦东川沙新镇妙境路与华夏东路路口，每天有高达1000多起的电动车自行车行人，闯红灯，逆行等违章行为，影响过往的机动车，已数年，无人管理，致电110，短暂的监管，事后又发生了，希望领导关注一下，领导可以调取该路口的视频监控,浦东新区区委网信办,领导你好，在浦东川沙新镇妙境路与华夏东路路口，每天有高达1000多起的电动车自行车行人，闯红灯，逆行等违章行为，影响过往的机动车，已数年，无人管理，致电110，短暂的监管，事后又发生了，希望领导关注一下，领导可以调取该路口的视频监控,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		上海市 >
    
		浦东新区 >
    
	浦东新区区委书记翁祖亮
"
夜间施工扰民已近半个月，如何解决？,已办理,城建 投诉,W***,2019-05-0109:47,"位于浦东新区临沂七村西北门附近的建筑工地，时隔半月持续不断在清晨6点前施工，电钻声不绝于耳，在家中关窗后测量分贝依然过百，严重影响附近居民生活作息。更严重的是，该工地节假无休，且电钻声尤其集中在早6点-6点半左右，超过该时段后反而电钻声明显减少。试问如此不顾居民利益,不合理不合规的施工方式，由谁来管？",浦东新区区委网信办,"位于浦东新区临沂七村西北门附近的建筑工地，时隔半月持续不断在清晨6点前施工，电钻声不绝于耳，在家中关窗后测量分贝依然过百，严重影响附近居民生活作息。更严重的是，该工地节假无休，且电钻声尤其集中在早6点-6点半左右，超过该时段后反而电钻声明显减少。试问如此不顾居民利益,不合理不合规的施工方式，由谁来管？","
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		上海市 >
    
		浦东新区 >
    
	浦东新区区委书记翁祖亮
"
养鸽扰民,待回复,城建 求助,y***,2019-04-2714:26,浦东新区惠南镇听健路151弄8号1804室养种鸽百十只，叫声严重影响休息，鸽毛，气味严重影响正常生活，他不住人，专业养鸽子，以出售子鸽受益，，望导给予解浃,,,
居民楼养鸽子叫声扰民,待回复,城建 求助,y***,2019-04-2615:27,浦东新区惠南镇听健路151弄8号1804室养鸽子，叫声严重影响休息，望领导给予重试,,,
小区车棚违规出租，希望立即停止侵权。,已办理,城建 投诉,治***,2019-04-2507:30,潍坊十村一小区内，潍坊路134号楼后面车棚内其中一房间未经业主同意，擅自租给在小区内开餐饮店的做仓库，其送货车还占用小区停车位，侵犯业主权益，希望居委会及有关部门管管。,浦东新区区委网信办,潍坊十村一小区内，潍坊路134号楼后面车棚内其中一房间未经业主同意，擅自租给在小区内开餐饮店的做仓库，其送货车还占用小区停车位，侵犯业主权益，希望居委会及有关部门管管。,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		上海市 >
    
		浦东新区 >
    
	浦东新区区委书记翁祖亮
"
是关于我们塔水桥拆迁款,已办理,城建 建言,无***,2019-04-2314:11,我们搬迁也好多天了，我是一个没工作的，腿又不方便，希望能早点拿到我们的拆迁款，买好房子我也能安安心心的完成我的心愿，谢谢，一年的房租对来说，真的有点承受不了,浦东区委网信办,我们搬迁也好多天了，我是一个没工作的，腿又不方便，希望能早点拿到我们的拆迁款，买好房子我也能安安心心的完成我的心愿，谢谢，一年的房租对来说，真的有点承受不了,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		上海市 >
    
		浦东新区 >
    
	浦东新区区委书记翁祖亮
"
养鸽子扰民,待回复,城建 求助,y***,2019-04-2222:15,惠南镇听健路151弄8号1804室，养鸽子，叫声严重影响休息，`鸽毛，气味影响生活，这是居民楼，养鸽子会产生病菌而不卫生，望领导给予重试,,,
养鸽子扰民,已办理,城建 求助,y***,2019-04-2209:09,浦东新区惠南镇听健路151弄8号1804室养鸽子，鸽子叫声严重影响休息，还有天气热气味，鸽子毛严重影响生活，打12345他们说养鸽子有证管不了，但生活居住养鸽子严重影响生治，望领导给予重试，调解,浦东区委网信办,浦东新区惠南镇听健路151弄8号1804室养鸽子，鸽子叫声严重影响休息，还有天气热气味，鸽子毛严重影响生活，打12345他们说养鸽子有证管不了，但生活居住养鸽子严重影响生治，望领导给予重试，调解,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		上海市 >
    
		浦东新区 >
    
	浦东新区区委书记翁祖亮
"
浦东巴乐兔租房和二房东恶意不退押金和房租,已办理,城建 求助,王***,2019-04-1909:03,尊敬的翁书记您好，我是一名打工妹，准备来上海打工，4月17日让亲戚在浦东繁锦路688弄中冶尚城租房一套，中介为巴乐兔高行绿洲租房公司，合计房租押金3050元，可当天夜里我妈不幸得疾病住院、18日早晨我就通知巴乐兔中介人不能来了，希望以特殊情况给予退款，可一直商讨近一天，公司经理以房东拒绝退款为由，不予理会，非让我们转租，我在外地母亲有病不能赶到，可他们不理睬，现中央正在整治房地产中介，保护消费者合法权益，我们还没有赚到钱，而他们却把钱全部拿走，希望书记在百忙中过问此事、保护我们这些老百姓合法权益，拿回属于我们的钱，谢谢！,浦东新区区委网信办,尊敬的翁书记您好，我是一名打工妹，准备来上海打工，4月17日让亲戚在浦东繁锦路688弄中冶尚城租房一套，中介为巴乐兔高行绿洲租房公司，合计房租押金3050元，可当天夜里我妈不幸得疾病住院、18日早晨我就通知巴乐兔中介人不能来了，希望以特殊情况给予退款，可一直商讨近一天，公司经理以房东拒绝退款为由，不予理会，非让我们转租，我在外地母亲有病不能赶到，可他们不理睬，现中央正在整治房地产中介，保护消费者合法权益，我们还没有赚到钱，而他们却把钱全部拿走，希望书记在百忙中过问此事、保护我们这些老百姓合法权益，拿回属于我们的钱，谢谢！,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		上海市 >
    
		浦东新区 >
    
	浦东新区区委书记翁祖亮
"
户口迁入,已办理,就业 求助,h***,2019-04-1816:52,尊敬的区委书记   您好！   本人是家住在浦东新区惠南镇的一位居民，半年来一直为户口迁入事轶四处奔波准备材料收集材料，弄的是身心疲惫！   待材料收集准备好后，其他条件都满足，唯有老家的《失业登记证》没有。经过多方咨询这个都办不了，在老家就没有工作过。本人毕业后就在上海生活工作，并结识了现在老公（上海），结婚已有10年，并育有一女一子，大的都有10周岁了，并且我们共同购了房。  现在我实在不知道该如何去办理？  ,浦东区委网信办,尊敬的区委书记   您好！   本人是家住在浦东新区惠南镇的一位居民，半年来一直为户口迁入事轶四处奔波准备材料收集材料，弄的是身心疲惫！   待材料收集准备好后，其他条件都满足，唯有老家的《失业登记证》没有。经过多方咨询这个都办不了，在老家就没有工作过。本人毕业后就在上海生活工作，并结识了现在老公（上海），结婚已有10年，并育有一女一子，大的都有10周岁了，并且我们共同购了房。  现在我实在不知道该如何去办理？  ,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		上海市 >
    
		浦东新区 >
    
	浦东新区区委书记翁祖亮
"
宣桥镇陆桥村拆迁问题,已办理,城建 求助,木***,2019-04-1809:13,领导，您好！宣桥镇陆桥村的拆迁问题从2004年拖延至今，已严重影响当地未拆迁村民，多次与政府沟通，个人总结为没有安置房导致拆迁拖延，望领导能够重视，尽快解决此问题安排拆迁，此问题已直接影响当地适婚青年的未来！感谢！,浦东区委网信办,领导，您好！宣桥镇陆桥村的拆迁问题从2004年拖延至今，已严重影响当地未拆迁村民，多次与政府沟通，个人总结为没有安置房导致拆迁拖延，望领导能够重视，尽快解决此问题安排拆迁，此问题已直接影响当地适婚青年的未来！感谢！,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		上海市 >
    
		浦东新区 >
    
	浦东新区区委书记翁祖亮
"
小区路面超期施工严重扰民，严重浪费财政资金,已办理,城建 建言,吾***,2019-04-1709:08,尊敬的翁书记您好！我是沈家弄路877弄居民，有着二十年以上的党龄。感谢您抽出宝贵的时间关心民生。现向您反映我们小区存在的怪现象：小区路面超期施工严重扰民，存严重浪费财政资金等问题！1、小区概况：本小区系六层结构的老小区。本人2003年入住后已进行过多次工程（路面拓宽，天然气管道更换，绿化，进水管道更换，污水管更换等，几乎每年都有工程）。2、本次污水管更换超期严重扰民：根据工程告示牌应于2018年底（或今年1月底，很抱歉记不清）完工，但迄今未完。很多天井盖水泥固定后再次钻开、再固定再钻开，三次！小区中晴天尘土飞扬。边上沈家弄路900弄类似工程同期开工、春节前已铺完沥青，我们小区迄今未铺沥青。路面凹凸不平安全隐患极大；居民中众多老人，从早到晚承受着噪音等污染苦不堪言！2、严重浪费财政资金：小区各类修缮工程缺乏规划严重浪费财政资金，我们很忧心。如；去年先后几次进行过绿化工程，今年地下水管更换，绿化毁坏大半，很多碗口粗的桂花树都给弄断或毁坏。据说900弄已铺沥青道路马上又要开挖、准备更换电线。对于这样的市政工程，我内心特别感激党和政府为民众谋福祉，但我又难以释怀，为何煤气污水管道地下线路等工程不进行统筹规划？至于一次次铺好了挖挖好再铺？国家的钱就允许这么浪费么？这么多钱，又可以为地区的创新发展做出多少贡献！决策者良心不痛么？党性呢？ 3、物业管理费存疑极大：小区在几年前调整过物业费（我本人之前约440/年、现约1000/年），据说过程不合规。停车费存疑极大（小区现编号停车位200以上，年费1200/位，之前每年约收15万，现在的居然比原来的少，临时停车管理可能也乱）。4、物业及业委会选取涉嫌违规；小区居民绝大部分对现在的物业极不满意，但就是换不了！业委会选取更是匪夷所思（规定时间前不投票的视为同意大多数人的意见，但很多楼组长迄今都不晓得这回事！要求所有业主实名选举否则无效）！ 5、居委会不作为：物业问题、小区长期施工扰民问题，多次与居委会沟通无果，业主大会上居然不给业主维权说话的机会。怨不得不少居民怀疑居委是否与物业沆瀣一气。6、疑存在利益输送等腐败行为：鉴于上述一些怪现象，不少居民怀疑其中存在利益输送或贪腐行为。希望区委能协调上级相关审计机构，对本小区的物业公司、居委会工作等开展全审计，还居民一个祥和的生活环境。再次感谢您对大众民生的关心！也为冒昧耽搁您宝贵的时间致歉！,浦东区委网信办,尊敬的翁书记您好！我是沈家弄路877弄居民，有着二十年以上的党龄。感谢您抽出宝贵的时间关心民生。现向您反映我们小区存在的怪现象：小区路面超期施工严重扰民，存严重浪费财政资金等问题！1、小区概况：本小区系六层结构的老小区。本人2003年入住后已进行过多次工程（路面拓宽，天然气管道更换，绿化，进水管道更换，污水管更换等，几乎每年都有工程）。2、本次污水管更换超期严重扰民：根据工程告示牌应于2018年底（或今年1月底，很抱歉记不清）完工，但迄今未完。很多天井盖水泥固定后再次钻开、再固定再钻开，三次！小区中晴天尘土飞扬。边上沈家弄路900弄类似工程同期开工、春节前已铺完沥青，我们小区迄今未铺沥青。路面凹凸不平安全隐患极大；居民中众多老人，从早到晚承受着噪音等污染苦不堪言！2、严重浪费财政资金：小区各类修缮工程缺乏规划严重浪费财政资金，我们很忧心。如；去年先后几次进行过绿化工程，今年地下水管更换，绿化毁坏大半，很多碗口粗的桂花树都给弄断或毁坏。据说900弄已铺沥青道路马上又要开挖、准备更换电线。对于这样的市政工程，我内心特别感激党和政府为民众谋福祉，但我又难以释怀，为何煤气污水管道地下线路等工程不进行统筹规划？至于一次次铺好了挖挖好再铺？国家的钱就允许这么浪费么？这么多钱，又可以为地区的创新发展做出多少贡献！决策者良心不痛么？党性呢？ 3、物业管理费存疑极大：小区在几年前调整过物业费（我本人之前约440/年、现约1000/年），据说过程不合规。停车费存疑极大（小区现编号停车位200以上，年费1200/位，之前每年约收15万，现在的居然比原来的少，临时停车管理可能也乱）。4、物业及业委会选取涉嫌违规；小区居民绝大部分对现在的物业极不满意，但就是换不了！业委会选取更是匪夷所思（规定时间前不投票的视为同意大多数人的意见，但很多楼组长迄今都不晓得这回事！要求所有业主实名选举否则无效）！ 5、居委会不作为：物业问题、小区长期施工扰民问题，多次与居委会沟通无果，业主大会上居然不给业主维权说话的机会。怨不得不少居民怀疑居委是否与物业沆瀣一气。6、疑存在利益输送等腐败行为：鉴于上述一些怪现象，不少居民怀疑其中存在利益输送或贪腐行为。希望区委能协调上级相关审计机构，对本小区的物业公司、居委会工作等开展全审计，还居民一个祥和的生活环境。再次感谢您对大众民生的关心！也为冒昧耽搁您宝贵的时间致歉！,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		上海市 >
    
		浦东新区 >
    
	浦东新区区委书记翁祖亮
"
曹路人民的医疗何时能上？！！！,已办理,医疗 建言,未***,2019-04-1708:29,曹路老人那么多，看病到二甲医院都要一个多小时的路程，如果生急病那可如何是好？能否告示医院何时建好？,浦东区委网信办,曹路老人那么多，看病到二甲医院都要一个多小时的路程，如果生急病那可如何是好？能否告示医院何时建好？,"
	当前位置 ：领导留言板 >
    
    
        地方领导 >
    
    
		上海市 >
    
		浦东新区 >
    
	浦东新区区委书记翁祖亮
"
什么时候曹路人民能有二甲医院。,待回复,医疗 投诉,未***,2019-04-1615:26,曹路本来就发展的晚，为什么到现在医院还没有造好。老人们都无法好好看病！,,,
